scene,trajectory_id,split,entry_region,exit_region,od_pair,supported_at_selected_threshold,recording_id,start_x_topview,start_y_topview,end_x_topview,end_y_topview,source_recording_id,start_x,start_y,end_x,end_y
bellevue_ne8th,bellevue_ne8th:125508,target_estimation,1,3,1->3,True,Bellevue_Bellevue_NE8th__2017-09-10_19-08-24,1442.006593798682,509.83915852943176,1069.699311665557,504.4044263536182,Bellevue_Bellevue_NE8th__2017-09-10_19-08-24,567.0205322265621,151.66460700757568,696.8196022727267,668.5261800130204
bellevue_ne8th,bellevue_ne8th:125512,target_estimation,0,0,0->0,True,Bellevue_Bellevue_NE8th__2017-09-10_19-08-24,1059.2973490014738,549.7299260044618,1182.9843965904472,317.47362087444003,Bellevue_Bellevue_NE8th__2017-09-10_19-08-24,933.79331480084,676.3211288914532,10.455964701103433,391.48851410836863
bellevue_ne8th,bellevue_ne8th:125524,target_estimation,0,1,0->1,True,Bellevue_Bellevue_NE8th__2017-09-10_19-08-24,1053.4134468925579,602.718675947189,1490.9600649040221,663.2858104327466,Bellevue_Bellevue_NE8th__2017-09-10_19-08-24,1174.0996337890617,650.3029176654235,724.1938004927192,134.40634687019096
bellevue_ne8th,bellevue_ne8th:125526,target_estimation,0,0,0->0,True,Bellevue_Bellevue_NE8th__2017-09-10_19-08-24,1061.6518238985152,572.1874015235625,1202.791202297746,304.3764065422421,Bellevue_Bellevue_NE8th__2017-09-10_19-08-24,1018.7779097123574,638.8528629187377,12.21751235037138,356.70606153083537
bellevue_ne8th,bellevue_ne8th:125537,target_estimation,0,1,0->1,True,Bellevue_Bellevue_NE8th__2017-09-10_19-08-24,1074.031141325659,595.5025941964154,2075.580978174161,629.9152915586933,Bellevue_Bellevue_NE8th__2017-09-10_19-08-24,1056.5701133034438,561.9093577067052,602.7813820578825,60.73060926957557
bellevue_ne8th,bellevue_ne8th:125583,target_estimation,0,0,0->0,True,Bellevue_Bellevue_NE8th__2017-09-10_19-08-24,1062.3314739354555,570.9598362526903,1203.091987278718,303.340216423531,Bellevue_Bellevue_NE8th__2017-09-10_19-08-24,1011.2143756288466,636.600520463423,9.198782227256025,356.47518578731626
bellevue_ne8th,bellevue_ne8th:125584,target_estimation,0,1,0->1,True,Bellevue_Bellevue_NE8th__2017-09-10_19-08-24,1052.3236410986517,589.375552413675,2063.699544991749,640.8800969460456,Bellevue_Bellevue_NE8th__2017-09-10_19-08-24,1128.8454586144646,670.847405450994,609.4025381377243,61.56449581493024
bellevue_ne8th,bellevue_ne8th:125593,target_estimation,0,1,0->1,True,Bellevue_Bellevue_NE8th__2017-09-10_19-08-24,1049.2701117939137,601.2684087226453,1919.097036038341,675.3360506661702,Bellevue_Bellevue_NE8th__2017-09-10_19-08-24,1191.1633800159793,674.6924847227152,643.036263205788,72.33510959509644
bellevue_ne8th,bellevue_ne8th:125635,target_estimation,0,0,0->0,True,Bellevue_Bellevue_NE8th__2017-09-10_19-08-24,1062.9613242720313,571.5255615076948,1192.6951336204113,310.5677581126641,Bellevue_Bellevue_NE8th__2017-09-10_19-08-24,1010.9953104654937,632.8112062396422,9.516709472193863,373.8536931818179
bellevue_ne8th,bellevue_ne8th:125674,target_estimation,0,1,0->1,True,Bellevue_Bellevue_NE8th__2017-09-10_19-08-24,1076.6936696561986,596.4365138150575,1922.6667661209788,648.964092250398,Bellevue_Bellevue_NE8th__2017-09-10_19-08-24,1049.8916709206314,550.7859033757987,627.1458941835339,71.87892943873547
bellevue_ne8th,bellevue_ne8th:1257,target_estimation,0,0,0->0,True,Bellevue_Bellevue_NE8th__2017-09-10_18-08-23,1058.7832575189123,550.5370552718873,1182.2929048340163,318.449942178886,Bellevue_Bellevue_NE8th__2017-09-10_18-08-23,939.1754832874643,678.3818420410151,12.451141242186221,392.6198293974902
bellevue_ne8th,bellevue_ne8th:125713,target_estimation,0,0,0->0,True,Bellevue_Bellevue_NE8th__2017-09-10_19-08-24,1062.694256210988,571.2287423408093,1193.1736482012207,309.56582787629617,Bellevue_Bellevue_NE8th__2017-09-10_19-08-24,1010.8623964251886,634.4698033188324,6.96123897957078,373.24487036502694
bellevue_ne8th,bellevue_ne8th:125722,target_estimation,0,1,0->1,True,Bellevue_Bellevue_NE8th__2017-09-10_19-08-24,1050.840858164627,601.0432082274147,1846.0965238029783,666.6862972002737,Bellevue_Bellevue_NE8th__2017-09-10_19-08-24,1181.620336914062,666.0942042495261,647.431120161576,78.83661001956818
bellevue_ne8th,bellevue_ne8th:125744,target_estimation,0,1,0->1,True,Bellevue_Bellevue_NE8th__2017-09-10_19-08-24,1070.5984171947862,595.6092023657404,2073.186761392703,628.9133193200695,Bellevue_Bellevue_NE8th__2017-09-10_19-08-24,1070.1485919374402,575.8621077104048,602.438763612689,60.873104754361165
bellevue_ne8th,bellevue_ne8th:125819,target_estimation,0,1,0->1,True,Bellevue_Bellevue_NE8th__2017-09-10_19-08-24,1075.155844566449,595.1071667197854,1896.8107178342336,647.5368745748602,Bellevue_Bellevue_NE8th__2017-09-10_19-08-24,1051.0362006909916,557.7532397645886,629.1877504290951,74.0709920131798
bellevue_ne8th,bellevue_ne8th:125881,target_estimation,0,1,0->1,True,Bellevue_Bellevue_NE8th__2017-09-10_19-08-24,1068.260603536478,590.7267168731803,2074.0624765840944,624.180244354825,Bellevue_Bellevue_NE8th__2017-09-10_19-08-24,1062.2153952858662,589.9659636526393,599.9130017829656,60.78198054920535
bellevue_ne8th,bellevue_ne8th:12595,target_estimation,0,1,0->1,True,Bellevue_Bellevue_NE8th__2017-09-10_18-08-23,1051.9977043695048,587.9005532385625,1792.1701845482037,643.1072694696269,Bellevue_Bellevue_NE8th__2017-09-10_18-08-23,1124.685825787168,674.3824964118722,639.6121556137537,84.29117188887152
bellevue_ne8th,bellevue_ne8th:125960,target_estimation,0,1,0->1,True,Bellevue_Bellevue_NE8th__2017-09-10_19-08-24,1051.6609588235756,587.4003277159794,2087.7919788818094,633.2618452770323,Bellevue_Bellevue_NE8th__2017-09-10_19-08-24,1124.4134662050183,676.8928905140264,603.6009922836763,60.000284807609745
bellevue_ne8th,bellevue_ne8th:12599,target_estimation,0,1,0->1,True,Bellevue_Bellevue_NE8th__2017-09-10_18-08-23,1049.1433746113828,600.3860817684052,1499.560635390375,666.2798921755821,Bellevue_Bellevue_NE8th__2017-09-10_18-08-23,1188.5043593897956,676.4275973233306,724.0634514086169,132.22118060950066
bellevue_ne8th,bellevue_ne8th:125990,target_estimation,1,3,1->3,True,Bellevue_Bellevue_NE8th__2017-09-10_19-08-24,2144.553052985578,550.0693718506935,1068.9906713952937,507.15174712734586,Bellevue_Bellevue_NE8th__2017-09-10_19-08-24,558.1888993696731,56.00975419246785,711.3557073419738,669.4523554946431
bellevue_ne8th,bellevue_ne8th:126035,target_estimation,0,1,0->1,True,Bellevue_Bellevue_NE8th__2017-09-10_19-08-24,1071.517908456372,597.0766481394427,2172.2352086736078,650.4817662137374,Bellevue_Bellevue_NE8th__2017-09-10_19-08-24,1071.6050143155187,570.8658216071846,605.9884575121321,55.31614930123989
