scene,endpoint_role,record_type,region_a,region_b,region_size,region_share,reference_center_x,reference_center_y,centroid_x,centroid_y,mean_angle_rad,angular_std_rad,angular_span_rad,mean_radius,median_radius,within_region_mean_spread,within_region_max_spread,pairwise_centroid_distance,pairwise_angular_separation_rad
bellevue_116th_ne12th,entry,region,0,,325.0,0.44951590594744123,957.1386740293653,358.94802617159087,1092.1491929952697,351.46177259758116,-0.06226060955934647,0.11094929480318494,0.5941764469839768,135.98883350148228,141.99423225269558,17.100576588140182,65.04662141060714,,
bellevue_116th_ne12th,entry,region,1,,226.0,0.31258644536652835,957.1386740293653,358.94802617159087,680.6287496420267,452.28482436661477,2.8147853648687704,0.058540283614982175,0.5084605404075169,292.19735388375216,279.6125197573083,47.648195780310125,163.43664236856532,,
bellevue_116th_ne12th,entry,region,2,,91.0,0.12586445366528354,957.1386740293653,358.94802617159087,892.414065296678,234.3987076853186,-2.060163770697295,0.1670893291560946,0.6995658366665789,142.13805025274132,144.43671106408996,23.94644912408041,66.92889776519499,,
bellevue_116th_ne12th,entry,region,3,,81.0,0.11203319502074689,957.1386740293653,358.94802617159087,960.8860728103077,597.5835354233398,1.554242353018799,0.0718933636786402,0.6362290521009806,239.022609319383,250.4739604872157,30.6956761827586,155.1052409132207,,
bellevue_116th_ne12th,entry,pairwise,0,1.0,,,957.1386740293653,358.94802617159087,,,,,,,,,,423.6913535413142,2.8770459744281167
bellevue_116th_ne12th,entry,pairwise,0,2.0,,,957.1386740293653,358.94802617159087,,,,,,,,,,231.51216469858625,1.9979031611379485
bellevue_116th_ne12th,entry,pairwise,0,3.0,,,957.1386740293653,358.94802617159087,,,,,,,,,,278.9371414085093,1.6165029625781455
bellevue_116th_ne12th,entry,pairwise,1,2.0,,,957.1386740293653,358.94802617159087,,,,,,,,,,303.8542080824218,1.4082361716135203
bellevue_116th_ne12th,entry,pairwise,1,3.0,,,957.1386740293653,358.94802617159087,,,,,,,,,,315.6831997813567,1.2605430118499714
bellevue_116th_ne12th,entry,pairwise,2,3.0,,,957.1386740293653,358.94802617159087,,,,,,,,,,369.5830554990889,2.668779183463492
