scene,method,selection_strategy,reference_movement_id,movement_support,non_noise_support,noise_count,noise_ratio,unique_non_noise_clusters,clusters_with_at_least_1pct_of_movement,effective_number_of_clusters,dominant_cluster_share_non_noise,cluster_allocation_entropy,normalized_fragmentation_entropy,movement_completeness_proxy,weighted_cluster_purity
bellevue_150th_se38th,kmeans,untargeted_selection,bellevue_150th_se38th:B>E,204,204,0,0.0,2,2,1.8627411299685972,0.6862745098039216,0.6220491286465615,0.8974271930876951,0.10257280691230486,1.0
bellevue_150th_se38th,kmeans,untargeted_selection,bellevue_150th_se38th:B>H,70,70,0,0.0,1,1,1.0,1.0,-0.0,0.0,1.0,0.9722222222222222
bellevue_150th_se38th,kmeans,untargeted_selection,bellevue_150th_se38th:C>E,1117,1117,0,0.0,2,2,1.900933269118433,0.658012533572068,0.6423449598488367,0.926707888113937,0.073292111886063,1.0
bellevue_150th_se38th,kmeans,untargeted_selection,bellevue_150th_se38th:C>F,12,12,0,0.0,1,1,1.0,1.0,-0.0,0.0,1.0,1.0
bellevue_150th_se38th,kmeans,untargeted_selection,bellevue_150th_se38th:C>H,10,10,0,0.0,1,1,1.0,1.0,-0.0,0.0,1.0,1.0
bellevue_150th_se38th,kmeans,untargeted_selection,bellevue_150th_se38th:D>F,56,56,0,0.0,1,1,1.0,1.0,-0.0,0.0,1.0,1.0
bellevue_150th_se38th,kmeans,untargeted_selection,bellevue_150th_se38th:D>G,141,141,0,0.0,1,1,1.0,1.0,-0.0,0.0,1.0,1.0
bellevue_150th_se38th,optics,hg_expected_aware_selection,bellevue_150th_se38th:A>G,1630,1311,319,0.19570552147239265,1,1,1.0,1.0,-0.0,0.0,1.0,1.0
bellevue_150th_se38th,optics,hg_expected_aware_selection,bellevue_150th_se38th:A>H,182,169,13,0.07142857142857142,1,1,1.0,1.0,-0.0,0.0,1.0,1.0
bellevue_150th_se38th,optics,hg_expected_aware_selection,bellevue_150th_se38th:B>E,204,161,43,0.2107843137254902,4,4,2.6829262397330838,0.6024844720496895,0.9869080793522337,0.7119036959473596,0.2880963040526404,1.0
bellevue_150th_se38th,optics,hg_expected_aware_selection,bellevue_150th_se38th:B>H,70,68,2,0.02857142857142857,1,1,1.0,1.0,-0.0,0.0,1.0,1.0
bellevue_150th_se38th,optics,hg_expected_aware_selection,bellevue_150th_se38th:C>E,1117,1111,6,0.005371530886302597,2,2,1.8998688631501293,0.6588658865886589,0.641784864395778,0.9258998411813848,0.0741001588186152,1.0
bellevue_150th_se38th,optics,hg_expected_aware_selection,bellevue_150th_se38th:C>F,12,0,12,1.0,0,0,0.0,,,,,
bellevue_150th_se38th,optics,hg_expected_aware_selection,bellevue_150th_se38th:C>H,10,0,10,1.0,0,0,0.0,,,,,
bellevue_150th_se38th,optics,hg_expected_aware_selection,bellevue_150th_se38th:D>F,56,17,39,0.6964285714285714,1,1,1.0,1.0,-0.0,0.0,1.0,1.0
bellevue_150th_se38th,optics,hg_expected_aware_selection,bellevue_150th_se38th:D>G,141,141,0,0.0,1,1,1.0,1.0,-0.0,0.0,1.0,1.0
bellevue_150th_se38th,optics,untargeted_selection,bellevue_150th_se38th:A>G,1630,460,1170,0.7177914110429447,2,2,1.8649080774579134,0.6847826086956522,0.6232117636547544,0.8991045208483789,0.10089547915162111,1.0
bellevue_150th_se38th,optics,untargeted_selection,bellevue_150th_se38th:A>H,182,147,35,0.19230769230769232,1,1,1.0,1.0,-0.0,0.0,1.0,1.0
bellevue_150th_se38th,optics,untargeted_selection,bellevue_150th_se38th:B>E,204,0,204,1.0,0,0,0.0,,,,,
bellevue_150th_se38th,optics,untargeted_selection,bellevue_150th_se38th:B>H,70,0,70,1.0,0,0,0.0,,,,,
bellevue_150th_se38th,optics,untargeted_selection,bellevue_150th_se38th:C>E,1117,1049,68,0.06087735004476276,2,2,1.8735112122411406,0.678741658722593,0.6278143238833584,0.9057446116655787,0.09425538833442126,1.0
bellevue_150th_se38th,optics,untargeted_selection,bellevue_150th_se38th:C>F,12,0,12,1.0,0,0,0.0,,,,,
bellevue_150th_se38th,optics,untargeted_selection,bellevue_150th_se38th:C>H,10,0,10,1.0,0,0,0.0,,,,,
bellevue_150th_se38th,optics,untargeted_selection,bellevue_150th_se38th:D>F,56,0,56,1.0,0,0,0.0,,,,,
bellevue_150th_se38th,optics,untargeted_selection,bellevue_150th_se38th:D>G,141,0,141,1.0,0,0,0.0,,,,,
