scene,automatic_entry_region,automatic_exit_region,automatic_od_pair,target_estimation_support_count,target_estimation_support_percentage,support_threshold,low_support_mode,mapped_manual_entry,mapped_manual_exit,mapped_manual_movement,mapped_pair_is_legal,empirical_target_reference_movement,empirical_target_reference_purity,empirical_target_valid_count,empirical_target_movements_json,all_target_reference_movements_json,unique_target_reference_movement_count,target_reference_invalid_count,median_canonical_point_count,short_track_fraction_le_30_points,independent_prediction_count,independent_valid_reference_count,independent_reference_movements_json,observed_in_independent_valid_reference,semantic_duplicate_group_size,duplicate_semantic_movement_flag,empirical_dominant_duplicate_group_size,empirical_dominant_duplicate_flag
bellevue_150th_newport,3,0,3->0,115,4.746182418489476,0.001,False,B,H,bellevue_150th_newport:B>H,True,bellevue_150th_newport:B>H,1.0,101,"{""bellevue_150th_newport:B>H"": 101}","{""bellevue_150th_newport:B>H"": 101}",1,14,360.0,0.0,152,137,"{""bellevue_150th_newport:B>H"": 137}",True,1,False,1,False
bellevue_150th_newport,1,3,1->3,18,0.7428807263722659,0.001,False,A,F,bellevue_150th_newport:A>F,True,bellevue_150th_newport:A>F,1.0,15,"{""bellevue_150th_newport:A>F"": 15}","{""bellevue_150th_newport:A>F"": 15}",1,3,238.5,0.05555555555555555,47,44,"{""bellevue_150th_newport:A>F"": 42, ""bellevue_150th_newport:A>G"": 2}",True,1,False,1,False
bellevue_150th_newport,1,0,1->0,18,0.7428807263722659,0.001,False,A,H,bellevue_150th_newport:A>H,True,bellevue_150th_newport:A>H,0.9444444444444444,18,"{""bellevue_150th_newport:A>H"": 17, ""bellevue_150th_newport:C>H"": 1}","{""bellevue_150th_newport:A>H"": 17, ""bellevue_150th_newport:C>H"": 1}",2,0,164.5,0.0,9,9,"{""bellevue_150th_newport:A>H"": 7, ""bellevue_150th_newport:C>H"": 2}",True,1,False,1,False
bellevue_150th_newport,1,2,1->2,15,0.6190672719768882,0.001,False,A,E,bellevue_150th_newport:A>E,False,bellevue_150th_newport:C>E,1.0,6,"{""bellevue_150th_newport:C>E"": 6}","{""bellevue_150th_newport:C>E"": 6}",1,9,42.0,0.0,10,4,"{""bellevue_150th_newport:C>E"": 4}",True,1,False,3,True
bellevue_150th_newport,3,2,3->2,12,0.4952538175815105,0.001,False,B,E,bellevue_150th_newport:B>E,True,bellevue_150th_newport:B>E,1.0,8,"{""bellevue_150th_newport:B>E"": 8}","{""bellevue_150th_newport:B>E"": 8}",1,4,328.5,0.0,16,12,"{""bellevue_150th_newport:B>E"": 12}",True,1,False,1,False
bellevue_150th_newport,2,0,2->0,10,0.41271151465125877,0.001,False,D,H,bellevue_150th_newport:D>H,False,bellevue_150th_newport:C>H,1.0,10,"{""bellevue_150th_newport:C>H"": 10}","{""bellevue_150th_newport:C>H"": 10}",1,0,241.0,0.0,33,33,"{""bellevue_150th_newport:C>H"": 33}",True,1,False,2,True
bellevue_150th_eastgate,0,2,0->2,2176,24.954128440366972,0.005,False,D,F,bellevue_150th_eastgate:D>F,True,bellevue_150th_eastgate:D>F,0.9912321181356715,2167,"{""bellevue_150th_eastgate:D>F"": 2148, ""bellevue_150th_eastgate:D>G"": 19}","{""bellevue_150th_eastgate:D>F"": 2148, ""bellevue_150th_eastgate:D>G"": 19}",2,9,163.0,0.0,1676,1670,"{""bellevue_150th_eastgate:D>F"": 1667, ""bellevue_150th_eastgate:D>G"": 3}",True,1,False,1,False
bellevue_150th_eastgate,1,0,1->0,2012,23.073394495412845,0.005,False,B,H,bellevue_150th_eastgate:B>H,True,bellevue_150th_eastgate:B>H,1.0,1981,"{""bellevue_150th_eastgate:B>H"": 1981}","{""bellevue_150th_eastgate:B>H"": 1981}",1,31,207.0,0.0,4024,4023,"{""bellevue_150th_eastgate:B>H"": 4023}",True,1,False,1,False
bellevue_150th_eastgate,2,2,2->2,1245,14.277522935779816,0.005,False,A,F,bellevue_150th_eastgate:A>F,True,bellevue_150th_eastgate:A>F,0.9855305466237942,1244,"{""bellevue_150th_eastgate:A>F"": 1226, ""bellevue_150th_eastgate:A>G"": 18}","{""bellevue_150th_eastgate:A>F"": 1226, ""bellevue_150th_eastgate:A>G"": 18}",2,1,293.0,0.0,1153,1150,"{""bellevue_150th_eastgate:A>F"": 1111, ""bellevue_150th_eastgate:A>G"": 39}",True,1,False,1,False
bellevue_150th_eastgate,0,1,0->1,983,11.272935779816514,0.005,False,D,G,bellevue_150th_eastgate:D>G,True,bellevue_150th_eastgate:D>G,1.0,980,"{""bellevue_150th_eastgate:D>G"": 980}","{""bellevue_150th_eastgate:D>G"": 980}",1,3,276.0,0.0,355,352,"{""bellevue_150th_eastgate:D>G"": 352}",True,1,False,1,False
bellevue_150th_eastgate,2,1,2->1,871,9.988532110091743,0.005,False,A,G,bellevue_150th_eastgate:A>G,True,bellevue_150th_eastgate:A>G,1.0,867,"{""bellevue_150th_eastgate:A>G"": 867}","{""bellevue_150th_eastgate:A>G"": 867}",1,4,263.0,0.0,577,574,"{""bellevue_150th_eastgate:A>G"": 574}",True,1,False,1,False
bellevue_150th_eastgate,2,0,2->0,627,7.190366972477063,0.005,False,A,H,bellevue_150th_eastgate:A>H,True,bellevue_150th_eastgate:A>H,1.0,617,"{""bellevue_150th_eastgate:A>H"": 617}","{""bellevue_150th_eastgate:A>H"": 617}",1,10,211.0,0.0,1252,1249,"{""bellevue_150th_eastgate:A>H"": 1249}",True,1,False,1,False
bellevue_150th_eastgate,3,0,3->0,344,3.9449541284403673,0.005,False,C,H,bellevue_150th_eastgate:C>H,True,bellevue_150th_eastgate:C>H,0.9357142857142857,280,"{""bellevue_150th_eastgate:B>H"": 18, ""bellevue_150th_eastgate:C>H"": 262}","{""bellevue_150th_eastgate:B>H"": 18, ""bellevue_150th_eastgate:C>H"": 262}",2,64,206.5,0.0,931,878,"{""bellevue_150th_eastgate:B>H"": 28, ""bellevue_150th_eastgate:C>H"": 850}",True,1,False,1,False
bellevue_150th_eastgate,3,3,3->3,254,2.9128440366972477,0.005,False,C,E,bellevue_150th_eastgate:C>E,True,bellevue_150th_eastgate:C>E,1.0,201,"{""bellevue_150th_eastgate:C>E"": 201}","{""bellevue_150th_eastgate:C>E"": 201}",1,53,224.5,0.0,618,568,"{""bellevue_150th_eastgate:C>E"": 568}",True,1,False,1,False
bellevue_150th_eastgate,1,3,1->3,158,1.8119266055045873,0.005,False,B,E,bellevue_150th_eastgate:B>E,True,bellevue_150th_eastgate:B>E,1.0,114,"{""bellevue_150th_eastgate:B>E"": 114}","{""bellevue_150th_eastgate:B>E"": 114}",1,44,219.5,0.0,121,99,"{""bellevue_150th_eastgate:B>E"": 99}",True,1,False,1,False
