scene,method,trial_index,fit_random_seed,params_json,n_total,n_clusters,cluster_count_error,n_outliers,pct_outliers,largest_cluster_ratio,fit_time_s,hg_estimated_target,silhouette_clustered_only,davies_bouldin_clustered_only,calinski_harabasz_clustered_only,quick_score,EMAS_HG,error,untargeted_selection_key_json,hg_expected_selection_key_json,selected_untargeted,selected_hg_expected_aware
bellevue_116th_ne12th,kmeans,1,20260703,"{""max_iter"": 300, ""n_clusters"": 2, ""n_init"": 10}",634,2,8,0,0.0,0.6829652996845426,1.3013961999677122,10,0.5335929331086898,0.887839730002715,666.9037477791044,0.39597952695001043,0.46135371499081834,,"[-0.5335929331086898, 0.887839730002715, -666.9037477791044, 0.6829652996845426, ""{\""max_iter\"": 300, \""n_clusters\"": 2, \""n_init\"": 10}""]","[8.0, -0.5335929331086898, 0.887839730002715, -666.9037477791044, 0.6829652996845426, ""{\""max_iter\"": 300, \""n_clusters\"": 2, \""n_init\"": 10}""]",False,False
bellevue_116th_ne12th,kmeans,2,20260704,"{""max_iter"": 300, ""n_clusters"": 3, ""n_init"": 10}",634,3,7,0,0.0,0.4148264984227129,0.023309900076128542,10,0.6280549876180954,0.6002543079198633,928.9732612188737,0.4399151333764077,0.5524101672141818,,"[-0.6280549876180954, 0.6002543079198633, -928.9732612188737, 0.4148264984227129, ""{\""max_iter\"": 300, \""n_clusters\"": 3, \""n_init\"": 10}""]","[7.0, -0.6280549876180954, 0.6002543079198633, -928.9732612188737, 0.4148264984227129, ""{\""max_iter\"": 300, \""n_clusters\"": 3, \""n_init\"": 10}""]",False,False
bellevue_116th_ne12th,kmeans,3,20260705,"{""max_iter"": 300, ""n_clusters"": 4, ""n_init"": 10}",634,4,6,0,0.0,0.4148264984227129,0.022616899921558797,10,0.7070359096075188,0.42724917659751094,1393.7408248330246,0.45747299939488,0.6139339960087982,,"[-0.7070359096075188, 0.42724917659751094, -1393.7408248330246, 0.4148264984227129, ""{\""max_iter\"": 300, \""n_clusters\"": 4, \""n_init\"": 10}""]","[6.0, -0.7070359096075188, 0.42724917659751094, -1393.7408248330246, 0.4148264984227129, ""{\""max_iter\"": 300, \""n_clusters\"": 4, \""n_init\"": 10}""]",False,False
bellevue_116th_ne12th,kmeans,4,20260706,"{""max_iter"": 300, ""n_clusters"": 5, ""n_init"": 10}",634,5,5,0,0.0,0.305993690851735,0.024370400002226233,10,0.7556127080478844,0.35490222595760584,1981.3077196636934,0.48575096483525326,0.6809873300199524,,"[-0.7556127080478844, 0.35490222595760584, -1981.3077196636934, 0.305993690851735, ""{\""max_iter\"": 300, \""n_clusters\"": 5, \""n_init\"": 10}""]","[5.0, -0.7556127080478844, 0.35490222595760584, -1981.3077196636934, 0.305993690851735, ""{\""max_iter\"": 300, \""n_clusters\"": 5, \""n_init\"": 10}""]",False,False
bellevue_116th_ne12th,kmeans,5,20260707,"{""max_iter"": 300, ""n_clusters"": 6, ""n_init"": 10}",634,6,4,0,0.0,0.277602523659306,0.02311300009023398,10,0.7854900106671044,0.303072143057064,2197.864538526107,0.509885109110471,0.7382559700535173,,"[-0.7854900106671044, 0.303072143057064, -2197.864538526107, 0.277602523659306, ""{\""max_iter\"": 300, \""n_clusters\"": 6, \""n_init\"": 10}""]","[4.0, -0.7854900106671044, 0.303072143057064, -2197.864538526107, 0.277602523659306, ""{\""max_iter\"": 300, \""n_clusters\"": 6, \""n_init\"": 10}""]",False,False
bellevue_116th_ne12th,kmeans,6,20260708,"{""max_iter"": 300, ""n_clusters"": 7, ""n_init"": 10}",634,7,3,0,0.0,0.277602523659306,0.02388490003068,10,0.780474490831128,0.33582385363643735,2278.065402890479,0.5361935568861869,0.786123641596748,,"[-0.780474490831128, 0.33582385363643735, -2278.065402890479, 0.277602523659306, ""{\""max_iter\"": 300, \""n_clusters\"": 7, \""n_init\"": 10}""]","[3.0, -0.780474490831128, 0.33582385363643735, -2278.065402890479, 0.277602523659306, ""{\""max_iter\"": 300, \""n_clusters\"": 7, \""n_init\"": 10}""]",False,False
bellevue_116th_ne12th,kmeans,7,20260709,"{""max_iter"": 300, ""n_clusters"": 8, ""n_init"": 10}",634,8,2,0,0.0,0.27602523659305994,0.03308859991375357,10,0.7888828798142948,0.32228216127149756,2562.6264486015484,0.5829883655555297,0.8374684441129842,,"[-0.7888828798142948, 0.32228216127149756, -2562.6264486015484, 0.27602523659305994, ""{\""max_iter\"": 300, \""n_clusters\"": 8, \""n_init\"": 10}""]","[2.0, -0.7888828798142948, 0.32228216127149756, -2562.6264486015484, 0.27602523659305994, ""{\""max_iter\"": 300, \""n_clusters\"": 8, \""n_init\"": 10}""]",False,False
bellevue_116th_ne12th,kmeans,8,20260710,"{""max_iter"": 300, ""n_clusters"": 9, ""n_init"": 10}",634,9,1,0,0.0,0.27602523659305994,0.03940599993802607,10,0.7928659416523834,0.2985425834651917,2828.7168797406484,0.6755454791115733,0.8890501847998333,,"[-0.7928659416523834, 0.2985425834651917, -2828.7168797406484, 0.27602523659305994, ""{\""max_iter\"": 300, \""n_clusters\"": 9, \""n_init\"": 10}""]","[1.0, -0.7928659416523834, 0.2985425834651917, -2828.7168797406484, 0.27602523659305994, ""{\""max_iter\"": 300, \""n_clusters\"": 9, \""n_init\"": 10}""]",False,False
bellevue_116th_ne12th,kmeans,9,20260711,"{""max_iter"": 300, ""n_clusters"": 10, ""n_init"": 10}",634,10,0,0,0.0,0.27602523659305994,0.042130400077439845,10,0.8066763101492748,0.26884006434666297,3165.89735429552,0.952137361537284,0.9415434312264102,,"[-0.8066763101492748, 0.26884006434666297, -3165.89735429552, 0.27602523659305994, ""{\""max_iter\"": 300, \""n_clusters\"": 10, \""n_init\"": 10}""]","[0.0, -0.8066763101492748, 0.26884006434666297, -3165.89735429552, 0.27602523659305994, ""{\""max_iter\"": 300, \""n_clusters\"": 10, \""n_init\"": 10}""]",True,True
bellevue_116th_ne12th,kmeans,10,20260712,"{""max_iter"": 300, ""n_clusters"": 11, ""n_init"": 10}",634,11,1,0,0.0,0.2618296529968454,0.04304299992509186,10,0.7626804924606689,0.37439981913966497,3532.1722907484163,0.6733305751699812,0.8847100910166135,,"[-0.7626804924606689, 0.37439981913966497, -3532.1722907484163, 0.2618296529968454, ""{\""max_iter\"": 300, \""n_clusters\"": 11, \""n_init\"": 10}""]","[1.0, -0.7626804924606689, 0.37439981913966497, -3532.1722907484163, 0.2618296529968454, ""{\""max_iter\"": 300, \""n_clusters\"": 11, \""n_init\"": 10}""]",False,False
