scene,method,selection_strategy,split,n_trajectories,hg_estimated_target,coordinate_representation,feature_columns_json,normalization_parameters_json,params_json,fit_random_seed,selection_key_json,trial_index,n_clusters,cluster_count_error,pct_outliers,largest_cluster_ratio,silhouette_clustered_only,davies_bouldin_clustered_only,calinski_harabasz_clustered_only,quick_score,EMAS_HG
bellevue_150th_newport,optics,untargeted_selection,model_selection,3101,12,camera_isotropic_shared_scale,"[""start_x"", ""start_y"", ""end_x"", ""end_y""]","{""shared_scale"": 1096.3660142979609, ""x_min"": 3.854053691503674, ""x_range"": 1096.3660142979609, ""y_min"": 34.488688012325376, ""y_range"": 652.2052499019734}","{""max_eps"": 0.012798475487971639, ""min_samples"": 80, ""xi"": 0.05}",20261712,"[-0.9615318182716166, 0.05105601219059602, -466436.64590299386, 0.4353577871316897, ""{\""max_eps\"": 0.012798475487971639, \""min_samples\"": 80, \""xi\"": 0.05}""]",10,4,8,46.37213801999355,0.4353577871316897,0.9615318182716166,0.05105601219059602,466436.64590299386,0.37047885129879865,0.523605610881617
bellevue_150th_newport,optics,hg_expected_aware_selection,model_selection,3101,12,camera_isotropic_shared_scale,"[""start_x"", ""start_y"", ""end_x"", ""end_y""]","{""shared_scale"": 1096.3660142979609, ""x_min"": 3.854053691503674, ""x_range"": 1096.3660142979609, ""y_min"": 34.488688012325376, ""y_range"": 652.2052499019734}","{""max_eps"": 0.036343618402565836, ""min_samples"": 40, ""xi"": 0.07}",20261710,"[5.0, 7.99742018703644, -0.8914818869685179, 0.15613712590997922, -155395.69764444692, 0.38380651945320715, ""{\""max_eps\"": 0.036343618402565836, \""min_samples\"": 40, \""xi\"": 0.07}""]",8,7,5,7.99742018703644,0.38380651945320715,0.8914818869685179,0.15613712590997922,155395.69764444692,0.47511273379257984,0.7183601988894607
bellevue_150th_eastgate,kmeans,untargeted_selection,model_selection,6791,9,camera_isotropic_shared_scale,"[""start_x"", ""start_y"", ""end_x"", ""end_y""]","{""shared_scale"": 1272.7534363004906, ""x_min"": 3.9231328578891578, ""x_range"": 1272.7534363004906, ""y_min"": 35.43277300054373, ""y_range"": 654.0800760095763}","{""max_iter"": 300, ""n_clusters"": 11, ""n_init"": 10}",20262712,"[-0.819307164876336, 0.26076725492745684, -40368.521145006656, 0.2295685466058018, ""{\""max_iter\"": 300, \""n_clusters\"": 11, \""n_init\"": 10}""]",10,11,2,0.0,0.2295685466058018,0.819307164876336,0.26076725492745684,40368.521145006656,0.5910002273170066,0.836214173272999
bellevue_150th_eastgate,kmeans,hg_expected_aware_selection,model_selection,6791,9,camera_isotropic_shared_scale,"[""start_x"", ""start_y"", ""end_x"", ""end_y""]","{""shared_scale"": 1272.7534363004906, ""x_min"": 3.9231328578891578, ""x_range"": 1272.7534363004906, ""y_min"": 35.43277300054373, ""y_range"": 654.0800760095763}","{""max_iter"": 300, ""n_clusters"": 9, ""n_init"": 10}",20262710,"[0.0, -0.8136297958350629, 0.29154708003716817, -21968.596919777858, 0.2295685466058018, ""{\""max_iter\"": 300, \""n_clusters\"": 9, \""n_init\"": 10}""]",8,9,0,0.0,0.2295685466058018,0.8136297958350629,0.29154708003716817,21968.596919777858,0.9564378967480558,0.9451511583649386
bellevue_150th_eastgate,hdbscan,untargeted_selection,model_selection,6791,9,camera_isotropic_shared_scale,"[""start_x"", ""start_y"", ""end_x"", ""end_y""]","{""shared_scale"": 1272.7534363004906, ""x_min"": 3.9231328578891578, ""x_range"": 1272.7534363004906, ""y_min"": 35.43277300054373, ""y_range"": 654.0800760095763}","{""min_cluster_size"": 160, ""min_samples"": 10}",20262705,"[-0.7658705804084739, 0.31307660480459004, -41010.24361096305, 0.1641383495145631, ""{\""min_cluster_size\"": 160, \""min_samples\"": 10}""]",3,12,3,2.9303489913120306,0.1641383495145631,0.7658705804084739,0.31307660480459004,41010.24361096305,0.5415975056089777,0.7755093484649453
bellevue_150th_eastgate,hdbscan,hg_expected_aware_selection,model_selection,6791,9,camera_isotropic_shared_scale,"[""start_x"", ""start_y"", ""end_x"", ""end_y""]","{""shared_scale"": 1272.7534363004906, ""x_min"": 3.9231328578891578, ""x_range"": 1272.7534363004906, ""y_min"": 35.43277300054373, ""y_range"": 654.0800760095763}","{""min_cluster_size"": 320, ""min_samples"": 20}",20262708,"[1.0, 2.871447504049477, -0.7348512715046156, 0.3722523477838459, -15122.050129176521, 0.164038811400849, ""{\""min_cluster_size\"": 320, \""min_samples\"": 20}""]",6,10,1,2.871447504049477,0.164038811400849,0.7348512715046156,0.3722523477838459,15122.050129176521,0.6760322344702959,0.8819131259579891
bellevue_150th_eastgate,optics,untargeted_selection,model_selection,6791,9,camera_isotropic_shared_scale,"[""start_x"", ""start_y"", ""end_x"", ""end_y""]","{""shared_scale"": 1272.7534363004906, ""x_min"": 3.9231328578891578, ""x_range"": 1272.7534363004906, ""y_min"": 35.43277300054373, ""y_range"": 654.0800760095763}","{""max_eps"": 0.0391223809812431, ""min_samples"": 40, ""xi"": 0.07}",20262710,"[-0.8682007345024816, 0.20136921598031376, -72413.95386273158, 0.3592142188961646, ""{\""max_eps\"": 0.0391223809812431, \""min_samples\"": 40, \""xi\"": 0.07}""]",8,11,2,37.03431011633044,0.3592142188961646,0.8682007345024816,0.20136921598031376,72413.95386273158,0.5083725065657908,0.7555472407509569
bellevue_150th_eastgate,optics,hg_expected_aware_selection,model_selection,6791,9,camera_isotropic_shared_scale,"[""start_x"", ""start_y"", ""end_x"", ""end_y""]","{""shared_scale"": 1272.7534363004906, ""x_min"": 3.9231328578891578, ""x_range"": 1272.7534363004906, ""y_min"": 35.43277300054373, ""y_range"": 654.0800760095763}","{""max_eps"": 0.022171253230168272, ""min_samples"": 80, ""xi"": 0.07}",20262717,"[1.0, 22.117508467088793, -0.8664390606879109, 0.15478613332867586, -105644.65618680386, 0.27850255246738514, ""{\""max_eps\"": 0.022171253230168272, \""min_samples\"": 80, \""xi\"": 0.07}""]",15,10,1,22.117508467088793,0.27850255246738514,0.8664390606879109,0.15478613332867586,105644.65618680386,0.6395347414700154,0.8522772465309955
bellevue_150th_se38th,kmeans,untargeted_selection,model_selection,2865,18,camera_isotropic_shared_scale,"[""start_x"", ""start_y"", ""end_x"", ""end_y""]","{""shared_scale"": 1238.6788422266638, ""x_min"": 38.01966370669276, ""x_range"": 1238.6788422266638, ""y_min"": 57.85551089662488, ""y_range"": 629.1849372863765}","{""max_iter"": 300, ""n_clusters"": 12, ""n_init"": 10}",20263713,"[-0.828871462132217, 0.33127123978990775, -25398.461101262008, 0.2764397905759162, ""{\""max_iter\"": 300, \""n_clusters\"": 12, \""n_init\"": 10}""]",11,12,6,0.0,0.2764397905759162,0.828871462132217,0.33127123978990775,25398.461101262008,0.47992910883576384,0.7722490998129847
bellevue_150th_se38th,kmeans,hg_expected_aware_selection,model_selection,2865,18,camera_isotropic_shared_scale,"[""start_x"", ""start_y"", ""end_x"", ""end_y""]","{""shared_scale"": 1238.6788422266638, ""x_min"": 38.01966370669276, ""x_range"": 1238.6788422266638, ""y_min"": 57.85551089662488, ""y_range"": 629.1849372863765}","{""max_iter"": 300, ""n_clusters"": 18, ""n_init"": 10}",20263719,"[0.0, -0.7259645307388554, 0.48864280701667884, -29293.859750073498, 0.2743455497382199, ""{\""max_iter\"": 300, \""n_clusters\"": 18, \""n_init\"": 10}""]",17,18,0,0.0,0.2743455497382199,0.7259645307388554,0.48864280701667884,29293.859750073498,0.9424513124426698,0.9260389533222187
