scene_id,recording_id,trajectory_source_path,trajectory_source_checksum,trajectory_source_size_bytes,trajectory_source_rows,trajectory_source_row_groups,source_recording_file,video_exists,video_size_bytes,video_checksum_policy
bellevue_116th_ne12th,Bellevue_116th_NE12th__2017-09-11_07-08-32,data/interim/bellevue_116th_ne12th/tracks_Bellevue_116th_NE12th__2017-09-11_07-08-32.parquet,19ce48e32336e20f4a77b2d0658e4809a5ae183af17e040be193a5db3836f3e4,7364979,219558,1,data/raw/bellevue_116th_ne12th/Bellevue_116th_NE12th__2017-09-11_07-08-32.mp4,True,68412272,sha256_on_demand_before_clip_or_frame_use
bellevue_116th_ne12th,Bellevue_116th_NE12th__2017-09-11_08-08-50,data/interim/bellevue_116th_ne12th/tracks_Bellevue_116th_NE12th__2017-09-11_08-08-50.parquet,f09b55a9714ffea3b9935e5f5e8815f547597b9e70890c15d7eecee07ec55b2d,10796962,338082,1,data/raw/bellevue_116th_ne12th/Bellevue_116th_NE12th__2017-09-11_08-08-50.mp4,True,146272337,sha256_on_demand_before_clip_or_frame_use
bellevue_116th_ne12th,Bellevue_116th_NE12th__2017-09-11_09-08-31,data/interim/bellevue_116th_ne12th/tracks_Bellevue_116th_NE12th__2017-09-11_09-08-31.parquet,f027f92f637b60224108e0ad6d60dd1a1022a6b41d6228ebe5ccaa4cf5bd6a02,16610387,547805,1,data/raw/bellevue_116th_ne12th/Bellevue_116th_NE12th__2017-09-11_09-08-31.mp4,True,231315695,sha256_on_demand_before_clip_or_frame_use
bellevue_116th_ne12th,Bellevue_116th_NE12th__2017-09-11_11-08-33,data/interim/bellevue_116th_ne12th/tracks_Bellevue_116th_NE12th__2017-09-11_11-08-33.parquet,03b7df7a15e1f69481092dc232a668c1077ddaff1d0c23f1367d7233c52266df,7639072,225751,1,data/raw/bellevue_116th_ne12th/Bellevue_116th_NE12th__2017-09-11_11-08-33.mp4,True,74165700,sha256_on_demand_before_clip_or_frame_use
bellevue_116th_ne12th,Bellevue_116th_NE12th__2017-09-11_12-08-33,data/interim/bellevue_116th_ne12th/tracks_Bellevue_116th_NE12th__2017-09-11_12-08-33.parquet,9ec79cf3a96c5fc8b9d57c1b4ace402f277e5c1e7398fedf6e915608d21fe4b5,3370681,89988,1,data/raw/bellevue_116th_ne12th/Bellevue_116th_NE12th__2017-09-11_12-08-33.mp4,True,24816722,sha256_on_demand_before_clip_or_frame_use
bellevue_116th_ne12th,Bellevue_116th_NE12th__2017-09-11_14-08-35,data/interim/bellevue_116th_ne12th/tracks_Bellevue_116th_NE12th__2017-09-11_14-08-35.parquet,45fcf7fad4394a48836e25206337e3d6a84d3187b7e35479d29e49d57b9f48a4,13700687,451297,1,data/raw/bellevue_116th_ne12th/Bellevue_116th_NE12th__2017-09-11_14-08-35.mp4,True,121601732,sha256_on_demand_before_clip_or_frame_use
bellevue_116th_ne12th,Bellevue_116th_NE12th__2017-09-11_15-08-36,data/interim/bellevue_116th_ne12th/tracks_Bellevue_116th_NE12th__2017-09-11_15-08-36.parquet,bf60f217ecb6613a08632bae1291702101c40bf337efdfad4b545726333adb3c,1923665,51738,1,data/raw/bellevue_116th_ne12th/Bellevue_116th_NE12th__2017-09-11_15-08-36.mp4,True,14674334,sha256_on_demand_before_clip_or_frame_use
bellevue_116th_ne12th,Bellevue_116th_NE12th__2017-09-11_16-08-37,data/interim/bellevue_116th_ne12th/tracks_Bellevue_116th_NE12th__2017-09-11_16-08-37.parquet,d46c4505bf2934681fc6007f63febb43599e401d8ca989cd7f47e7f77aaeb946,1559341,41618,1,data/raw/bellevue_116th_ne12th/Bellevue_116th_NE12th__2017-09-11_16-08-37.mp4,True,12180686,sha256_on_demand_before_clip_or_frame_use
bellevue_116th_ne12th,Bellevue_116th_NE12th__2017-09-11_17-08-39,data/interim/bellevue_116th_ne12th/tracks_Bellevue_116th_NE12th__2017-09-11_17-08-39.parquet,4fb712a97f51996819b7a6943774c03e29bb4a887070d304398d0ad9817d86f3,6677951,186394,1,data/raw/bellevue_116th_ne12th/Bellevue_116th_NE12th__2017-09-11_17-08-39.mp4,True,60807417,sha256_on_demand_before_clip_or_frame_use
bellevue_150th_eastgate,Bellevue_150th_Eastgate__2017-09-10_18-08-24,data/interim/bellevue_150th_eastgate/tracks_Bellevue_150th_Eastgate__2017-09-10_18-08-24.parquet,a5851be8fb6e11ebcc4d0db87b3abd9cc821a837f4107a27b24c495539a9ad20,48668164,1681416,2,data/raw/bellevue_150th_eastgate/Bellevue_150th_Eastgate__2017-09-10_18-08-24.mp4,True,370717286,sha256_on_demand_before_clip_or_frame_use
bellevue_150th_eastgate,Bellevue_150th_Eastgate__2017-09-10_19-08-25,data/interim/bellevue_150th_eastgate/tracks_Bellevue_150th_Eastgate__2017-09-10_19-08-25.parquet,1b91b8fdb3a5f7f5bcbd4b055cba1040a3419bec5f33c23ca3fc0bc21900e00c,70502892,2441873,3,data/raw/bellevue_150th_eastgate/Bellevue_150th_Eastgate__2017-09-10_19-08-25.mp4,True,418407351,sha256_on_demand_before_clip_or_frame_use
bellevue_150th_eastgate,Bellevue_150th_Eastgate__2017-09-10_20-08-25,data/interim/bellevue_150th_eastgate/tracks_Bellevue_150th_Eastgate__2017-09-10_20-08-25.parquet,98223fe48b4485b0d5207516b8df6939a9408530976c4b2354f8f45f9a171b56,30040502,981579,1,data/raw/bellevue_150th_eastgate/Bellevue_150th_Eastgate__2017-09-10_20-08-25.mp4,True,818248247,sha256_on_demand_before_clip_or_frame_use
bellevue_150th_eastgate,Bellevue_150th_Eastgate__2017-09-10_21-08-28,data/interim/bellevue_150th_eastgate/tracks_Bellevue_150th_Eastgate__2017-09-10_21-08-28.parquet,5f839f830624624088aadbb263be7e301694e14c53345322d93953405e3ee7ed,25989261,838485,1,data/raw/bellevue_150th_eastgate/Bellevue_150th_Eastgate__2017-09-10_21-08-28.mp4,True,785781152,sha256_on_demand_before_clip_or_frame_use
bellevue_150th_eastgate,Bellevue_150th_Eastgate__2017-09-10_22-08-28,data/interim/bellevue_150th_eastgate/tracks_Bellevue_150th_Eastgate__2017-09-10_22-08-28.parquet,c144bbe5d8d0220df34bab8e5ccc6d00c520b0ea96ba467c137a7edd38b3c387,21803919,683890,1,data/raw/bellevue_150th_eastgate/Bellevue_150th_Eastgate__2017-09-10_22-08-28.mp4,True,696119733,sha256_on_demand_before_clip_or_frame_use
bellevue_150th_eastgate,Bellevue_150th_Eastgate__2017-09-10_23-08-29,data/interim/bellevue_150th_eastgate/tracks_Bellevue_150th_Eastgate__2017-09-10_23-08-29.parquet,a159827ee97ac3d070f83fc3cfc9b58bca48ce7cfb488f4aa643b807347ca6ad,18194941,561131,1,data/raw/bellevue_150th_eastgate/Bellevue_150th_Eastgate__2017-09-10_23-08-29.mp4,True,637763700,sha256_on_demand_before_clip_or_frame_use
bellevue_150th_eastgate,Bellevue_150th_Eastgate__2017-09-11_00-08-29,data/interim/bellevue_150th_eastgate/tracks_Bellevue_150th_Eastgate__2017-09-11_00-08-29.parquet,7962c8623350ba1a7f04a25cea7452bdd1e1fd2585149550260b1bd3f0bbe7f6,14977038,450829,1,data/raw/bellevue_150th_eastgate/Bellevue_150th_Eastgate__2017-09-11_00-08-29.mp4,True,598175225,sha256_on_demand_before_clip_or_frame_use
bellevue_150th_eastgate,Bellevue_150th_Eastgate__2017-09-11_01-08-29,data/interim/bellevue_150th_eastgate/tracks_Bellevue_150th_Eastgate__2017-09-11_01-08-29.parquet,03f29eba8ca1369c7352c65497a5fd006bcf823c2997a3e750434260b83e2159,13193689,392882,1,data/raw/bellevue_150th_eastgate/Bellevue_150th_Eastgate__2017-09-11_01-08-29.mp4,True,542568600,sha256_on_demand_before_clip_or_frame_use
bellevue_150th_eastgate,Bellevue_150th_Eastgate__2017-09-11_02-08-29,data/interim/bellevue_150th_eastgate/tracks_Bellevue_150th_Eastgate__2017-09-11_02-08-29.parquet,c007befe03a8daa793d8a9b55c4a229c0d1f671404ad1087ea08695929f6641c,13614567,408078,1,data/raw/bellevue_150th_eastgate/Bellevue_150th_Eastgate__2017-09-11_02-08-29.mp4,True,584357487,sha256_on_demand_before_clip_or_frame_use
bellevue_150th_eastgate,Bellevue_150th_Eastgate__2017-09-11_03-08-30,data/interim/bellevue_150th_eastgate/tracks_Bellevue_150th_Eastgate__2017-09-11_03-08-30.parquet,98865d4c6cc1e64ebb838259476f06928c02c65942dd2ba098c371395ef5e77d,14210601,423739,1,data/raw/bellevue_150th_eastgate/Bellevue_150th_Eastgate__2017-09-11_03-08-30.mp4,True,606876397,sha256_on_demand_before_clip_or_frame_use
bellevue_150th_eastgate,Bellevue_150th_Eastgate__2017-09-11_04-08-29,data/interim/bellevue_150th_eastgate/tracks_Bellevue_150th_Eastgate__2017-09-11_04-08-29.parquet,0eb007751f85fd7de5e9b8d2ae07faebd29562dd4ab6094e1e13071b4c9b575f,15128897,451992,1,data/raw/bellevue_150th_eastgate/Bellevue_150th_Eastgate__2017-09-11_04-08-29.mp4,True,653012409,sha256_on_demand_before_clip_or_frame_use
bellevue_150th_eastgate,Bellevue_150th_Eastgate__2017-09-11_05-08-30,data/interim/bellevue_150th_eastgate/tracks_Bellevue_150th_Eastgate__2017-09-11_05-08-30.parquet,efaaf64874fd5ab557c96f99befb692f6ce6f7d5b4807ddc99cd3baf8300c337,22001444,685464,1,data/raw/bellevue_150th_eastgate/Bellevue_150th_Eastgate__2017-09-11_05-08-30.mp4,True,754633506,sha256_on_demand_before_clip_or_frame_use
bellevue_150th_eastgate,Bellevue_150th_Eastgate__2017-09-11_06-08-30,data/interim/bellevue_150th_eastgate/tracks_Bellevue_150th_Eastgate__2017-09-11_06-08-30.parquet,a08e3b826e33870e283435c8f7fec2f4044ba58ab642e8a411163eb8f4206ac4,71935223,2498807,3,data/raw/bellevue_150th_eastgate/Bellevue_150th_Eastgate__2017-09-11_06-08-30.mp4,True,481654803,sha256_on_demand_before_clip_or_frame_use
