scene_id,split,entry_polygon_id,exit_polygon_id,movement_id,maneuver_type,valid_assigned_count,percentage_of_valid_assigned,observed,first_five_evidence_trajectory_ids,recording_coverage_count,recording_coverage_ids,first_start_frame,last_end_frame,protocol_version
bellevue_150th_newport,target_estimation,A,G,bellevue_150th_newport:A>G,straight,540,23.2058444349,True,bellevue_150th_newport:102718|bellevue_150th_newport:103596|bellevue_150th_newport:104464|bellevue_150th_newport:106225|bellevue_150th_newport:108385,9,Bellevue_150th_Newport__2017-09-10_18-08-24|Bellevue_150th_Newport__2017-09-10_19-08-24|Bellevue_150th_Newport__2017-09-10_20-08-25|Bellevue_150th_Newport__2017-09-10_21-08-28|Bellevue_150th_Newport__2017-09-10_22-08-28|Bellevue_150th_Newport__2017-09-11_04-08-29|Bellevue_150th_Newport__2017-09-11_05-08-29|Bellevue_150th_Newport__2017-09-11_06-08-30|Bellevue_150th_Newport__2017-09-11_07-08-31,123,107713,future-transportation-polygon-reference-v1
bellevue_150th_newport,target_estimation,A,H,bellevue_150th_newport:A>H,left,17,0.730554361839,True,bellevue_150th_newport:26185|bellevue_150th_newport:294814|bellevue_150th_newport:325629|bellevue_150th_newport:365330|bellevue_150th_newport:370206,3,Bellevue_150th_Newport__2017-09-10_18-08-24|Bellevue_150th_Newport__2017-09-11_06-08-30|Bellevue_150th_Newport__2017-09-11_07-08-31,28159,105646,future-transportation-polygon-reference-v1
bellevue_150th_newport,target_estimation,B,G,bellevue_150th_newport:B>G,right,0,0,False,,0,,,,future-transportation-polygon-reference-v1
bellevue_150th_newport,target_estimation,B,H,bellevue_150th_newport:B>H,straight,101,4.34035238505,True,bellevue_150th_newport:12490|bellevue_150th_newport:12548|bellevue_150th_newport:128469|bellevue_150th_newport:132215|bellevue_150th_newport:132374,13,Bellevue_150th_Newport__2017-09-10_18-08-24|Bellevue_150th_Newport__2017-09-10_19-08-24|Bellevue_150th_Newport__2017-09-10_20-08-25|Bellevue_150th_Newport__2017-09-10_21-08-28|Bellevue_150th_Newport__2017-09-10_22-08-28|Bellevue_150th_Newport__2017-09-10_23-08-29|Bellevue_150th_Newport__2017-09-11_00-08-29|Bellevue_150th_Newport__2017-09-11_01-08-29|Bellevue_150th_Newport__2017-09-11_03-08-29|Bellevue_150th_Newport__2017-09-11_04-08-29|Bellevue_150th_Newport__2017-09-11_05-08-29|Bellevue_150th_Newport__2017-09-11_06-08-30|Bellevue_150th_Newport__2017-09-11_07-08-31,0,107943,future-transportation-polygon-reference-v1
bellevue_150th_newport,target_estimation,B,E,bellevue_150th_newport:B>E,left,8,0.343790287924,True,bellevue_150th_newport:129030|bellevue_150th_newport:129085|bellevue_150th_newport:203265|bellevue_150th_newport:260292|bellevue_150th_newport:324398,5,Bellevue_150th_Newport__2017-09-10_20-08-25|Bellevue_150th_Newport__2017-09-10_23-08-29|Bellevue_150th_Newport__2017-09-11_04-08-29|Bellevue_150th_Newport__2017-09-11_06-08-30|Bellevue_150th_Newport__2017-09-11_07-08-31,5292,106926,future-transportation-polygon-reference-v1
bellevue_150th_newport,target_estimation,C,H,bellevue_150th_newport:C>H,right,289,12.4194241513,True,bellevue_150th_newport:101976|bellevue_150th_newport:102560|bellevue_150th_newport:10291|bellevue_150th_newport:10456|bellevue_150th_newport:104779,11,Bellevue_150th_Newport__2017-09-10_18-08-24|Bellevue_150th_Newport__2017-09-10_19-08-24|Bellevue_150th_Newport__2017-09-10_20-08-25|Bellevue_150th_Newport__2017-09-10_21-08-28|Bellevue_150th_Newport__2017-09-10_22-08-28|Bellevue_150th_Newport__2017-09-10_23-08-29|Bellevue_150th_Newport__2017-09-11_00-08-29|Bellevue_150th_Newport__2017-09-11_03-08-29|Bellevue_150th_Newport__2017-09-11_05-08-29|Bellevue_150th_Newport__2017-09-11_06-08-30|Bellevue_150th_Newport__2017-09-11_07-08-31,858,107974,future-transportation-polygon-reference-v1
bellevue_150th_newport,target_estimation,C,E,bellevue_150th_newport:C>E,straight,1093,46.9703480877,True,bellevue_150th_newport:10|bellevue_150th_newport:100083|bellevue_150th_newport:100824|bellevue_150th_newport:100905|bellevue_150th_newport:101217,14,Bellevue_150th_Newport__2017-09-10_18-08-24|Bellevue_150th_Newport__2017-09-10_19-08-24|Bellevue_150th_Newport__2017-09-10_20-08-25|Bellevue_150th_Newport__2017-09-10_21-08-28|Bellevue_150th_Newport__2017-09-10_22-08-28|Bellevue_150th_Newport__2017-09-10_23-08-29|Bellevue_150th_Newport__2017-09-11_00-08-29|Bellevue_150th_Newport__2017-09-11_01-08-29|Bellevue_150th_Newport__2017-09-11_02-08-29|Bellevue_150th_Newport__2017-09-11_03-08-29|Bellevue_150th_Newport__2017-09-11_04-08-29|Bellevue_150th_Newport__2017-09-11_05-08-29|Bellevue_150th_Newport__2017-09-11_06-08-30|Bellevue_150th_Newport__2017-09-11_07-08-31,0,107970,future-transportation-polygon-reference-v1
bellevue_150th_newport,target_estimation,C,F,bellevue_150th_newport:C>F,left,0,0,False,,0,,,,future-transportation-polygon-reference-v1
bellevue_150th_newport,target_estimation,D,E,bellevue_150th_newport:D>E,right,0,0,False,,0,,,,future-transportation-polygon-reference-v1
bellevue_150th_newport,target_estimation,D,F,bellevue_150th_newport:D>F,straight,128,5.50064460679,True,bellevue_150th_newport:102938|bellevue_150th_newport:105093|bellevue_150th_newport:109236|bellevue_150th_newport:110061|bellevue_150th_newport:119521,13,Bellevue_150th_Newport__2017-09-10_18-08-24|Bellevue_150th_Newport__2017-09-10_19-08-24|Bellevue_150th_Newport__2017-09-10_20-08-25|Bellevue_150th_Newport__2017-09-10_21-08-28|Bellevue_150th_Newport__2017-09-10_22-08-28|Bellevue_150th_Newport__2017-09-10_23-08-29|Bellevue_150th_Newport__2017-09-11_00-08-29|Bellevue_150th_Newport__2017-09-11_02-08-29|Bellevue_150th_Newport__2017-09-11_03-08-29|Bellevue_150th_Newport__2017-09-11_04-08-29|Bellevue_150th_Newport__2017-09-11_05-08-29|Bellevue_150th_Newport__2017-09-11_06-08-30|Bellevue_150th_Newport__2017-09-11_07-08-31,3577,107590,future-transportation-polygon-reference-v1
