scene,method,trial_index,fit_random_seed,params_json,n_total,n_clusters,cluster_count_error,n_outliers,pct_outliers,largest_cluster_ratio,fit_time_s,hg_estimated_target,silhouette_clustered_only,davies_bouldin_clustered_only,calinski_harabasz_clustered_only,quick_score,EMAS_HG,error,untargeted_selection_key_json,hg_expected_selection_key_json,selected_untargeted,selected_hg_expected_aware,interval_lower,interval_upper,interval_distance,pcms_strategy_id,selected_pcms,pcms_selection_key_json
bellevue_116th_ne12th,kmeans,11,20260713,"{""max_iter"": 300, ""n_clusters"": 12, ""n_init"": 10}",634,12,2,0,0,0.261829652996845,0.0433740000007674,10,0.750803464247082,0.396147667855188,4015.23046860448,0.580503371902241,0.832982869225146,,"[-0.7508034642470816, 0.39614766785518757, -4015.2304686044763, 0.2618296529968454, ""{\""max_iter\"": 300, \""n_clusters\"": 12, \""n_init\"": 10}""]","[2.0, -0.7508034642470816, 0.39614766785518757, -4015.2304686044763, 0.2618296529968454, ""{\""max_iter\"": 300, \""n_clusters\"": 12, \""n_init\"": 10}""]",False,False,8,13,0,A5,False,
bellevue_116th_ne12th,kmeans,12,20260714,"{""max_iter"": 300, ""n_clusters"": 13, ""n_init"": 10}",634,13,3,0,0,0.238170347003155,0.0468591999961063,10,0.692464475791742,0.424458744925147,4240.87671460206,0.533407240754076,0.781008292418881,,"[-0.692464475791742, 0.42445874492514657, -4240.876714602062, 0.23817034700315456, ""{\""max_iter\"": 300, \""n_clusters\"": 13, \""n_init\"": 10}""]","[3.0, -0.692464475791742, 0.42445874492514657, -4240.876714602062, 0.23817034700315456, ""{\""max_iter\"": 300, \""n_clusters\"": 13, \""n_init\"": 10}""]",False,False,8,13,0,A5,False,
bellevue_116th_ne12th,kmeans,13,20260715,"{""max_iter"": 300, ""n_clusters"": 14, ""n_init"": 10}",634,14,4,0,0,0.233438485804416,0.0481196999317035,10,0.695596479630517,0.447337274639585,4493.05559243361,0.505982173357916,0.730528371314747,,"[-0.6955964796305171, 0.4473372746395854, -4493.055592433608, 0.2334384858044164, ""{\""max_iter\"": 300, \""n_clusters\"": 14, \""n_init\"": 10}""]","[4.0, -0.6955964796305171, 0.4473372746395854, -4493.055592433608, 0.2334384858044164, ""{\""max_iter\"": 300, \""n_clusters\"": 14, \""n_init\"": 10}""]",False,False,8,13,1,A5,False,
bellevue_116th_ne12th,kmeans,14,20260716,"{""max_iter"": 300, ""n_clusters"": 15, ""n_init"": 10}",634,15,5,0,0,0.233438485804416,0.0496025999309495,10,0.69831740973158,0.470664631091782,4637.04663185993,0.487236922393714,0.679568489547956,,"[-0.6983174097315797, 0.470664631091782, -4637.046631859933, 0.2334384858044164, ""{\""max_iter\"": 300, \""n_clusters\"": 15, \""n_init\"": 10}""]","[5.0, -0.6983174097315797, 0.470664631091782, -4637.046631859933, 0.2334384858044164, ""{\""max_iter\"": 300, \""n_clusters\"": 15, \""n_init\"": 10}""]",False,False,8,13,2,A5,False,
bellevue_116th_ne12th,kmeans,15,20260717,"{""max_iter"": 300, ""n_clusters"": 16, ""n_init"": 10}",634,16,6,0,0,0.205047318611987,0.0492176000261679,10,0.652507492984379,0.47828316632575,5018.40810289272,0.47451509061514,0.629766681299403,,"[-0.6525074929843793, 0.47828316632574974, -5018.408102892717, 0.20504731861198738, ""{\""max_iter\"": 300, \""n_clusters\"": 16, \""n_init\"": 10}""]","[6.0, -0.6525074929843793, 0.47828316632574974, -5018.408102892717, 0.20504731861198738, ""{\""max_iter\"": 300, \""n_clusters\"": 16, \""n_init\"": 10}""]",False,False,8,13,3,A5,False,
bellevue_116th_ne12th,kmeans,16,20260718,"{""max_iter"": 300, ""n_clusters"": 17, ""n_init"": 10}",634,17,7,0,0,0.15615141955836,0.0505921000149101,10,0.659360012825812,0.485029936485885,5186.63261705308,0.469772213606553,0.584691568527652,,"[-0.659360012825812, 0.4850299364858852, -5186.6326170530765, 0.15615141955835962, ""{\""max_iter\"": 300, \""n_clusters\"": 17, \""n_init\"": 10}""]","[7.0, -0.659360012825812, 0.4850299364858852, -5186.6326170530765, 0.15615141955835962, ""{\""max_iter\"": 300, \""n_clusters\"": 17, \""n_init\"": 10}""]",False,False,8,13,4,A5,False,
bellevue_116th_ne12th,kmeans,17,20260719,"{""max_iter"": 300, ""n_clusters"": 18, ""n_init"": 10}",634,18,8,0,0,0.15615141955836,0.0531783000333234,10,0.630509255016146,0.546848380811468,5266.50086765164,0.459345220468844,0.530557897920494,,"[-0.6305092550161455, 0.5468483808114678, -5266.5008676516445, 0.15615141955835962, ""{\""max_iter\"": 300, \""n_clusters\"": 18, \""n_init\"": 10}""]","[8.0, -0.6305092550161455, 0.5468483808114678, -5266.5008676516445, 0.15615141955835962, ""{\""max_iter\"": 300, \""n_clusters\"": 18, \""n_init\"": 10}""]",False,False,8,13,5,A5,False,
bellevue_116th_ne12th,kmeans,18,20260720,"{""max_iter"": 300, ""n_clusters"": 19, ""n_init"": 10}",634,19,9,0,0,0.149842271293375,0.0529133999953046,10,0.64590623672212,0.543318733391007,5221.14315497717,0.454708799396682,0.482106514086595,,"[-0.6459062367221203, 0.5433187333910071, -5221.143154977173, 0.1498422712933754, ""{\""max_iter\"": 300, \""n_clusters\"": 19, \""n_init\"": 10}""]","[9.0, -0.6459062367221203, 0.5433187333910071, -5221.143154977173, 0.1498422712933754, ""{\""max_iter\"": 300, \""n_clusters\"": 19, \""n_init\"": 10}""]",False,False,8,13,6,A5,False,
bellevue_116th_ne12th,kmeans,19,20260721,"{""max_iter"": 300, ""n_clusters"": 20, ""n_init"": 10}",634,20,10,0,0,0.15615141955836,0.0560415000654757,10,0.540444766098247,0.642050591322136,5313.21193699414,0.441856828083433,0.422306559817789,,"[-0.540444766098247, 0.6420505913221362, -5313.211936994141, 0.15615141955835962, ""{\""max_iter\"": 300, \""n_clusters\"": 20, \""n_init\"": 10}""]","[10.0, -0.540444766098247, 0.6420505913221362, -5313.211936994141, 0.15615141955835962, ""{\""max_iter\"": 300, \""n_clusters\"": 20, \""n_init\"": 10}""]",False,False,8,13,7,A5,False,
bellevue_116th_ne12th,kmeans,20,20260722,"{""max_iter"": 300, ""n_clusters"": 21, ""n_init"": 10}",634,21,11,0,0,0.145110410094637,0.0571456999750807,10,0.584458662425286,0.632294841547652,5393.42219011848,0.441176946337294,0.42597533389612,,"[-0.584458662425286, 0.6322948415476523, -5393.422190118479, 0.14511041009463724, ""{\""max_iter\"": 300, \""n_clusters\"": 21, \""n_init\"": 10}""]","[11.0, -0.584458662425286, 0.6322948415476523, -5393.422190118479, 0.14511041009463724, ""{\""max_iter\"": 300, \""n_clusters\"": 21, \""n_init\"": 10}""]",False,False,8,13,8,A5,False,
