scene,variant_id,entry_supernode,exit_supernode,od_pair,count,share,supported_at_selected_threshold
bellevue_116th_ne12th,sensitivity_self_consistency_q090,entry:S01,exit:S02,entry:S01>exit:S02,40,0.0553250345781466,True
bellevue_116th_ne12th,sensitivity_self_consistency_q090,entry:S01,exit:S03,entry:S01>exit:S03,276,0.381742738589212,True
bellevue_116th_ne12th,sensitivity_self_consistency_q090,entry:S02,exit:S00,entry:S02>exit:S00,76,0.105117565698479,True
bellevue_116th_ne12th,sensitivity_self_consistency_q090,entry:S02,exit:S01,entry:S02>exit:S01,5,0.00691562932226833,True
bellevue_116th_ne12th,sensitivity_self_consistency_q090,entry:S03,exit:S00,entry:S03>exit:S00,19,0.0262793914246196,True
bellevue_116th_ne12th,sensitivity_self_consistency_q090,entry:S03,exit:S01,entry:S03>exit:S01,207,0.286307053941909,True
bellevue_116th_ne12th,sensitivity_self_consistency_q0975,entry:S00,exit:S01,entry:S00>exit:S01,11,0.0152143845089903,True
bellevue_116th_ne12th,sensitivity_self_consistency_q0975,entry:S00,exit:S02,entry:S00>exit:S02,74,0.102351313969571,True
bellevue_116th_ne12th,sensitivity_self_consistency_q0975,entry:S00,exit:S03,entry:S00>exit:S03,6,0.00829875518672199,True
bellevue_116th_ne12th,sensitivity_self_consistency_q0975,entry:S01,exit:S00,entry:S01>exit:S00,9,0.012448132780083,True
bellevue_116th_ne12th,sensitivity_self_consistency_q0975,entry:S01,exit:S02,entry:S01>exit:S02,40,0.0553250345781466,True
bellevue_116th_ne12th,sensitivity_self_consistency_q0975,entry:S01,exit:S03,entry:S01>exit:S03,276,0.381742738589212,True
bellevue_116th_ne12th,sensitivity_self_consistency_q0975,entry:S02,exit:S00,entry:S02>exit:S00,76,0.105117565698479,True
bellevue_116th_ne12th,sensitivity_self_consistency_q0975,entry:S02,exit:S01,entry:S02>exit:S01,5,0.00691562932226833,True
bellevue_116th_ne12th,sensitivity_self_consistency_q0975,entry:S03,exit:S00,entry:S03>exit:S00,19,0.0262793914246196,True
bellevue_116th_ne12th,sensitivity_self_consistency_q0975,entry:S03,exit:S01,entry:S03>exit:S01,207,0.286307053941909,True
bellevue_150th_newport,A5,entry:S00,exit:S00,entry:S00>exit:S00,278,0.11473380107305,True
bellevue_150th_newport,A5,entry:S00,exit:S03,entry:S00>exit:S03,920,0.379694593479158,True
bellevue_150th_newport,A5,entry:S01,exit:S00,entry:S01>exit:S00,115,0.0474618241848948,True
bellevue_150th_newport,A5,entry:S01,exit:S03,entry:S01>exit:S03,12,0.0049525381758151,True
bellevue_150th_newport,A5,entry:S02,exit:S00,entry:S02>exit:S00,28,0.0115559224102352,True
bellevue_150th_newport,A5,entry:S02,exit:S01,entry:S02>exit:S01,737,0.304168386297978,True
bellevue_150th_newport,A5,entry:S02,exit:S02,entry:S02>exit:S02,149,0.0614940156830376,True
bellevue_150th_newport,A5,entry:S02,exit:S03,entry:S02>exit:S03,184,0.0759389186958316,True
bellevue_150th_newport,A6,entry:S00,exit:S00,entry:S00>exit:S00,278,0.11473380107305,True
bellevue_150th_newport,A6,entry:S00,exit:S03,entry:S00>exit:S03,920,0.379694593479158,True
bellevue_150th_newport,A6,entry:S01,exit:S00,entry:S01>exit:S00,115,0.0474618241848948,True
bellevue_150th_newport,A6,entry:S01,exit:S03,entry:S01>exit:S03,12,0.0049525381758151,True
bellevue_150th_newport,A6,entry:S02,exit:S00,entry:S02>exit:S00,28,0.0115559224102352,True
bellevue_150th_newport,A6,entry:S02,exit:S01,entry:S02>exit:S01,737,0.304168386297978,True
bellevue_150th_newport,A6,entry:S02,exit:S02,entry:S02>exit:S02,149,0.0614940156830376,True
bellevue_150th_newport,A6,entry:S02,exit:S03,entry:S02>exit:S03,184,0.0759389186958316,True
bellevue_150th_newport,A7,entry:S00,exit:S00,entry:S00>exit:S00,886,0.365662401981015,True
bellevue_150th_newport,A7,entry:S00,exit:S01,entry:S00>exit:S01,1537,0.634337598018985,True
bellevue_150th_newport,A9,entry:S00,exit:S00,entry:S00>exit:S00,278,0.11473380107305,True
bellevue_150th_newport,A9,entry:S00,exit:S03,entry:S00>exit:S03,920,0.379694593479158,True
bellevue_150th_newport,A9,entry:S01,exit:S00,entry:S01>exit:S00,115,0.0474618241848948,True
bellevue_150th_newport,A9,entry:S01,exit:S03,entry:S01>exit:S03,12,0.0049525381758151,True
bellevue_150th_newport,A9,entry:S02,exit:S00,entry:S02>exit:S00,28,0.0115559224102352,True
bellevue_150th_newport,A9,entry:S02,exit:S01,entry:S02>exit:S01,737,0.304168386297978,True
bellevue_150th_newport,A9,entry:S02,exit:S02,entry:S02>exit:S02,149,0.0614940156830376,True
bellevue_150th_newport,A9,entry:S02,exit:S03,entry:S02>exit:S03,184,0.0759389186958316,True
bellevue_150th_newport,sensitivity_heading_w3,entry:S00,exit:S00,entry:S00>exit:S00,278,0.11473380107305,True
bellevue_150th_newport,sensitivity_heading_w3,entry:S00,exit:S03,entry:S00>exit:S03,920,0.379694593479158,True
bellevue_150th_newport,sensitivity_heading_w3,entry:S01,exit:S00,entry:S01>exit:S00,115,0.0474618241848948,True
bellevue_150th_newport,sensitivity_heading_w3,entry:S01,exit:S03,entry:S01>exit:S03,12,0.0049525381758151,True
bellevue_150th_newport,sensitivity_heading_w3,entry:S02,exit:S00,entry:S02>exit:S00,28,0.0115559224102352,True
bellevue_150th_newport,sensitivity_heading_w3,entry:S02,exit:S01,entry:S02>exit:S01,737,0.304168386297978,True
bellevue_150th_newport,sensitivity_heading_w3,entry:S02,exit:S02,entry:S02>exit:S02,149,0.0614940156830376,True
bellevue_150th_newport,sensitivity_heading_w3,entry:S02,exit:S03,entry:S02>exit:S03,184,0.0759389186958316,True
bellevue_150th_newport,sensitivity_heading_w7,entry:S00,exit:S00,entry:S00>exit:S00,278,0.11473380107305,True
bellevue_150th_newport,sensitivity_heading_w7,entry:S00,exit:S03,entry:S00>exit:S03,920,0.379694593479158,True
bellevue_150th_newport,sensitivity_heading_w7,entry:S01,exit:S00,entry:S01>exit:S00,115,0.0474618241848948,True
bellevue_150th_newport,sensitivity_heading_w7,entry:S01,exit:S03,entry:S01>exit:S03,12,0.0049525381758151,True
bellevue_150th_newport,sensitivity_heading_w7,entry:S02,exit:S00,entry:S02>exit:S00,28,0.0115559224102352,True
bellevue_150th_newport,sensitivity_heading_w7,entry:S02,exit:S01,entry:S02>exit:S01,737,0.304168386297978,True
bellevue_150th_newport,sensitivity_heading_w7,entry:S02,exit:S02,entry:S02>exit:S02,149,0.0614940156830376,True
bellevue_150th_newport,sensitivity_heading_w7,entry:S02,exit:S03,entry:S02>exit:S03,184,0.0759389186958316,True
bellevue_150th_newport,sensitivity_self_consistency_q090,entry:S00,exit:S00,entry:S00>exit:S00,278,0.11473380107305,True
bellevue_150th_newport,sensitivity_self_consistency_q090,entry:S00,exit:S03,entry:S00>exit:S03,920,0.379694593479158,True
bellevue_150th_newport,sensitivity_self_consistency_q090,entry:S01,exit:S00,entry:S01>exit:S00,115,0.0474618241848948,True
bellevue_150th_newport,sensitivity_self_consistency_q090,entry:S01,exit:S03,entry:S01>exit:S03,12,0.0049525381758151,True
bellevue_150th_newport,sensitivity_self_consistency_q090,entry:S02,exit:S00,entry:S02>exit:S00,18,0.00742880726372266,True
bellevue_150th_newport,sensitivity_self_consistency_q090,entry:S02,exit:S01,entry:S02>exit:S01,540,0.22286421791168,True
bellevue_150th_newport,sensitivity_self_consistency_q090,entry:S02,exit:S02,entry:S02>exit:S02,18,0.00742880726372266,True
bellevue_150th_newport,sensitivity_self_consistency_q090,entry:S02,exit:S03,entry:S02>exit:S03,15,0.00619067271976888,True
bellevue_150th_newport,sensitivity_self_consistency_q090,entry:S03,exit:S00,entry:S03>exit:S00,10,0.00412711514651259,True
bellevue_150th_newport,sensitivity_self_consistency_q090,entry:S03,exit:S01,entry:S03>exit:S01,197,0.081304168386298,True
bellevue_150th_newport,sensitivity_self_consistency_q090,entry:S03,exit:S02,entry:S03>exit:S02,131,0.0540652084193149,True
bellevue_150th_newport,sensitivity_self_consistency_q090,entry:S03,exit:S03,entry:S03>exit:S03,169,0.0697482459760627,True
bellevue_150th_newport,sensitivity_self_consistency_q0975,entry:S00,exit:S00,entry:S00>exit:S00,278,0.11473380107305,True
bellevue_150th_newport,sensitivity_self_consistency_q0975,entry:S00,exit:S03,entry:S00>exit:S03,920,0.379694593479158,True
bellevue_150th_newport,sensitivity_self_consistency_q0975,entry:S01,exit:S00,entry:S01>exit:S00,115,0.0474618241848948,True
bellevue_150th_newport,sensitivity_self_consistency_q0975,entry:S01,exit:S03,entry:S01>exit:S03,12,0.0049525381758151,True
bellevue_150th_newport,sensitivity_self_consistency_q0975,entry:S02,exit:S00,entry:S02>exit:S00,28,0.0115559224102352,True
bellevue_150th_newport,sensitivity_self_consistency_q0975,entry:S02,exit:S01,entry:S02>exit:S01,737,0.304168386297978,True
bellevue_150th_newport,sensitivity_self_consistency_q0975,entry:S02,exit:S02,entry:S02>exit:S02,149,0.0614940156830376,True
bellevue_150th_newport,sensitivity_self_consistency_q0975,entry:S02,exit:S03,entry:S02>exit:S03,184,0.0759389186958316,True
bellevue_150th_eastgate,A5,entry:S00,exit:S01,entry:S00>exit:S01,158,0.0181192660550459,True
bellevue_150th_eastgate,A5,entry:S00,exit:S02,entry:S00>exit:S02,2012,0.230733944954128,True
bellevue_150th_eastgate,A5,entry:S01,exit:S00,entry:S01>exit:S00,1245,0.142775229357798,True
bellevue_150th_eastgate,A5,entry:S01,exit:S01,entry:S01>exit:S01,7,0.000802752293577982,False
bellevue_150th_eastgate,A5,entry:S01,exit:S02,entry:S01>exit:S02,627,0.0719036697247706,True
bellevue_150th_eastgate,A5,entry:S01,exit:S03,entry:S01>exit:S03,871,0.0998853211009174,True
bellevue_150th_eastgate,A5,entry:S02,exit:S00,entry:S02>exit:S00,2176,0.24954128440367,True
bellevue_150th_eastgate,A5,entry:S02,exit:S01,entry:S02>exit:S01,15,0.00172018348623853,False
bellevue_150th_eastgate,A5,entry:S02,exit:S02,entry:S02>exit:S02,28,0.00321100917431193,False
bellevue_150th_eastgate,A5,entry:S02,exit:S03,entry:S02>exit:S03,983,0.112729357798165,True
bellevue_150th_eastgate,A5,entry:S03,exit:S01,entry:S03>exit:S01,254,0.0291284403669725,True
bellevue_150th_eastgate,A5,entry:S03,exit:S02,entry:S03>exit:S02,344,0.0394495412844037,True
bellevue_150th_eastgate,A6,entry:S00,exit:S01,entry:S00>exit:S01,158,0.0181192660550459,True
bellevue_150th_eastgate,A6,entry:S00,exit:S02,entry:S00>exit:S02,2012,0.230733944954128,True
bellevue_150th_eastgate,A6,entry:S01,exit:S00,entry:S01>exit:S00,1245,0.142775229357798,True
bellevue_150th_eastgate,A6,entry:S01,exit:S01,entry:S01>exit:S01,7,0.000802752293577982,False
bellevue_150th_eastgate,A6,entry:S01,exit:S02,entry:S01>exit:S02,627,0.0719036697247706,True
bellevue_150th_eastgate,A6,entry:S01,exit:S03,entry:S01>exit:S03,871,0.0998853211009174,True
bellevue_150th_eastgate,A6,entry:S02,exit:S00,entry:S02>exit:S00,2176,0.24954128440367,True
bellevue_150th_eastgate,A6,entry:S02,exit:S01,entry:S02>exit:S01,15,0.00172018348623853,False
bellevue_150th_eastgate,A6,entry:S02,exit:S02,entry:S02>exit:S02,28,0.00321100917431193,False
bellevue_150th_eastgate,A6,entry:S02,exit:S03,entry:S02>exit:S03,983,0.112729357798165,True
bellevue_150th_eastgate,A6,entry:S03,exit:S01,entry:S03>exit:S01,254,0.0291284403669725,True
bellevue_150th_eastgate,A6,entry:S03,exit:S02,entry:S03>exit:S02,344,0.0394495412844037,True
bellevue_150th_eastgate,A7,entry:S00,exit:S00,entry:S00>exit:S00,2116,0.242660550458716,True
bellevue_150th_eastgate,A7,entry:S00,exit:S01,entry:S00>exit:S01,2804,0.321559633027523,True
bellevue_150th_eastgate,A7,entry:S01,exit:S00,entry:S01>exit:S00,3159,0.362270642201835,True
bellevue_150th_eastgate,A7,entry:S01,exit:S01,entry:S01>exit:S01,641,0.0735091743119266,True
bellevue_150th_eastgate,A9,entry:S00,exit:S01,entry:S00>exit:S01,158,0.0181192660550459,True
bellevue_150th_eastgate,A9,entry:S00,exit:S02,entry:S00>exit:S02,2012,0.230733944954128,True
bellevue_150th_eastgate,A9,entry:S01,exit:S00,entry:S01>exit:S00,1245,0.142775229357798,True
bellevue_150th_eastgate,A9,entry:S01,exit:S01,entry:S01>exit:S01,7,0.000802752293577982,False
bellevue_150th_eastgate,A9,entry:S01,exit:S02,entry:S01>exit:S02,627,0.0719036697247706,True
