scene,variant_id,role,supernode_id,member_micro_regions,n_micro_regions,n_support,bearing,heading,contains_invalid_descriptor
bellevue_116th_ne12th,sensitivity_self_consistency_q0975,exit,exit:S02,3,1,114,1.59667826530687,-2.65701533216972,False
bellevue_116th_ne12th,sensitivity_self_consistency_q0975,exit,exit:S03,1,1,282,3.13704608334502,-1.04523669339794,False
bellevue_150th_newport,A5,entry,entry:S00,0,1,1198,-1.59534332541616,1.99971578152765,False
bellevue_150th_newport,A5,entry,entry:S01,3,1,127,0.305424570070566,2.57895591172517,False
bellevue_150th_newport,A5,entry,entry:S02,1;2,2,1098,1.30892741170547,-1.83895342420193,False
bellevue_150th_newport,A5,exit,exit:S00,0,1,421,-3.11835260402302,2.4759068807407,False
bellevue_150th_newport,A5,exit,exit:S01,1,1,737,-1.3714270119681,-2.56242705973113,False
bellevue_150th_newport,A5,exit,exit:S02,3,1,149,-0.544599902388466,-1.42471143079452,False
bellevue_150th_newport,A5,exit,exit:S03,2,1,1116,1.60856607850344,1.67579501222331,False
bellevue_150th_newport,A6,entry,entry:S00,0,1,1198,-1.59534332541616,1.99971578152765,False
bellevue_150th_newport,A6,entry,entry:S01,3,1,127,0.305424570070566,2.57895591172517,False
bellevue_150th_newport,A6,entry,entry:S02,1;2,2,1098,1.30892741170547,-1.83895342420193,False
bellevue_150th_newport,A6,exit,exit:S00,0,1,421,-3.11835260402302,2.4759068807407,False
bellevue_150th_newport,A6,exit,exit:S01,1,1,737,-1.3714270119681,-2.56242705973113,False
bellevue_150th_newport,A6,exit,exit:S02,3,1,149,-0.544599902388466,-1.42471143079452,False
bellevue_150th_newport,A6,exit,exit:S03,2,1,1116,1.60856607850344,1.67579501222331,False
bellevue_150th_newport,A7,entry,entry:S00,0;1;2;3,4,2423,0.305424570070566,1.99971578152765,False
bellevue_150th_newport,A7,exit,exit:S00,1;3,2,886,-1.3714270119681,-2.56242705973113,False
bellevue_150th_newport,A7,exit,exit:S01,0;2,2,1537,-3.11835260402302,1.67579501222331,False
bellevue_150th_newport,A9,entry,entry:S00,0,1,1198,-1.59534332541616,1.66602981353194,False
bellevue_150th_newport,A9,entry,entry:S01,3,1,127,0.305424570070566,2.52153070451443,False
bellevue_150th_newport,A9,entry,entry:S02,1;2,2,1098,1.30892741170547,-1.08244319413401,False
bellevue_150th_newport,A9,exit,exit:S00,0,1,421,-3.11835260402302,1.55984107795774,False
bellevue_150th_newport,A9,exit,exit:S01,1,1,737,-1.3714270119681,-1.78969929927103,False
bellevue_150th_newport,A9,exit,exit:S02,3,1,149,-0.544599902388466,-0.844287507478815,False
bellevue_150th_newport,A9,exit,exit:S03,2,1,1116,1.60856607850344,1.40045039288963,False
bellevue_150th_newport,sensitivity_heading_w3,entry,entry:S00,0,1,1198,-1.59534332541616,2.00175467050562,False
bellevue_150th_newport,sensitivity_heading_w3,entry,entry:S01,3,1,127,0.305424570070566,2.56166937187107,False
bellevue_150th_newport,sensitivity_heading_w3,entry,entry:S02,1;2,2,1098,1.30892741170547,-1.80482942085639,False
bellevue_150th_newport,sensitivity_heading_w3,exit,exit:S00,0,1,421,-3.11835260402302,2.47201382409532,False
bellevue_150th_newport,sensitivity_heading_w3,exit,exit:S01,1,1,737,-1.3714270119681,-2.56458022246253,False
bellevue_150th_newport,sensitivity_heading_w3,exit,exit:S02,3,1,149,-0.544599902388466,-1.42823084851743,False
bellevue_150th_newport,sensitivity_heading_w3,exit,exit:S03,2,1,1116,1.60856607850344,1.66037405775114,False
bellevue_150th_newport,sensitivity_heading_w7,entry,entry:S00,0,1,1198,-1.59534332541616,2.00122241584096,False
bellevue_150th_newport,sensitivity_heading_w7,entry,entry:S01,3,1,127,0.305424570070566,2.52672088995185,False
bellevue_150th_newport,sensitivity_heading_w7,entry,entry:S02,1;2,2,1098,1.30892741170547,-1.8823033898923,False
bellevue_150th_newport,sensitivity_heading_w7,exit,exit:S00,0,1,421,-3.11835260402302,2.47903743845227,False
bellevue_150th_newport,sensitivity_heading_w7,exit,exit:S01,1,1,737,-1.3714270119681,-2.55084167758721,False
