scene,variant_id,role,micro_region,supernode_id
bellevue_150th_se38th,sensitivity_heading_w7,exit,1,exit:S00
bellevue_150th_se38th,sensitivity_heading_w7,exit,2,exit:S00
bellevue_150th_se38th,sensitivity_self_consistency_q090,entry,0,entry:S00
bellevue_150th_se38th,sensitivity_self_consistency_q090,entry,1,entry:S03
bellevue_150th_se38th,sensitivity_self_consistency_q090,entry,2,entry:S01
bellevue_150th_se38th,sensitivity_self_consistency_q090,entry,3,entry:S04
bellevue_150th_se38th,sensitivity_self_consistency_q090,entry,4,entry:S05
bellevue_150th_se38th,sensitivity_self_consistency_q090,entry,5,entry:S05
bellevue_150th_se38th,sensitivity_self_consistency_q090,entry,6,entry:S02
bellevue_150th_se38th,sensitivity_self_consistency_q090,exit,0,exit:S01
bellevue_150th_se38th,sensitivity_self_consistency_q090,exit,1,exit:S00
bellevue_150th_se38th,sensitivity_self_consistency_q090,exit,2,exit:S00
bellevue_150th_se38th,sensitivity_self_consistency_q0975,entry,0,entry:S00
bellevue_150th_se38th,sensitivity_self_consistency_q0975,entry,1,entry:S02
bellevue_150th_se38th,sensitivity_self_consistency_q0975,entry,2,entry:S00
bellevue_150th_se38th,sensitivity_self_consistency_q0975,entry,3,entry:S02
bellevue_150th_se38th,sensitivity_self_consistency_q0975,entry,4,entry:S03
bellevue_150th_se38th,sensitivity_self_consistency_q0975,entry,5,entry:S03
bellevue_150th_se38th,sensitivity_self_consistency_q0975,entry,6,entry:S01
bellevue_150th_se38th,sensitivity_self_consistency_q0975,exit,0,exit:S01
bellevue_150th_se38th,sensitivity_self_consistency_q0975,exit,1,exit:S00
bellevue_150th_se38th,sensitivity_self_consistency_q0975,exit,2,exit:S00
bellevue_ne8th,A5,entry,0,entry:S03
bellevue_ne8th,A5,entry,1,entry:S01
bellevue_ne8th,A5,entry,2,entry:S00
bellevue_ne8th,A5,entry,3,entry:S02
bellevue_ne8th,A5,exit,0,exit:S01
bellevue_ne8th,A5,exit,1,exit:S02
bellevue_ne8th,A5,exit,2,exit:S03
bellevue_ne8th,A5,exit,3,exit:S00
bellevue_ne8th,A6,entry,0,entry:S03
bellevue_ne8th,A6,entry,1,entry:S01
bellevue_ne8th,A6,entry,2,entry:S00
bellevue_ne8th,A6,entry,3,entry:S02
bellevue_ne8th,A6,exit,0,exit:S01
bellevue_ne8th,A6,exit,1,exit:S02
