scene,variant_id,role,micro_region,supernode_id
bellevue_150th_newport,sensitivity_heading_w7,entry,1,entry:S02
bellevue_150th_newport,sensitivity_heading_w7,entry,2,entry:S02
bellevue_150th_newport,sensitivity_heading_w7,entry,3,entry:S01
bellevue_150th_newport,sensitivity_heading_w7,exit,0,exit:S00
bellevue_150th_newport,sensitivity_heading_w7,exit,1,exit:S01
bellevue_150th_newport,sensitivity_heading_w7,exit,2,exit:S03
bellevue_150th_newport,sensitivity_heading_w7,exit,3,exit:S02
bellevue_150th_newport,sensitivity_self_consistency_q090,entry,0,entry:S00
bellevue_150th_newport,sensitivity_self_consistency_q090,entry,1,entry:S02
bellevue_150th_newport,sensitivity_self_consistency_q090,entry,2,entry:S03
bellevue_150th_newport,sensitivity_self_consistency_q090,entry,3,entry:S01
bellevue_150th_newport,sensitivity_self_consistency_q090,exit,0,exit:S00
bellevue_150th_newport,sensitivity_self_consistency_q090,exit,1,exit:S01
bellevue_150th_newport,sensitivity_self_consistency_q090,exit,2,exit:S03
bellevue_150th_newport,sensitivity_self_consistency_q090,exit,3,exit:S02
bellevue_150th_newport,sensitivity_self_consistency_q0975,entry,0,entry:S00
bellevue_150th_newport,sensitivity_self_consistency_q0975,entry,1,entry:S02
bellevue_150th_newport,sensitivity_self_consistency_q0975,entry,2,entry:S02
bellevue_150th_newport,sensitivity_self_consistency_q0975,entry,3,entry:S01
bellevue_150th_newport,sensitivity_self_consistency_q0975,exit,0,exit:S00
bellevue_150th_newport,sensitivity_self_consistency_q0975,exit,1,exit:S01
bellevue_150th_newport,sensitivity_self_consistency_q0975,exit,2,exit:S03
bellevue_150th_newport,sensitivity_self_consistency_q0975,exit,3,exit:S02
bellevue_150th_eastgate,A5,entry,0,entry:S02
bellevue_150th_eastgate,A5,entry,1,entry:S00
bellevue_150th_eastgate,A5,entry,2,entry:S01
bellevue_150th_eastgate,A5,entry,3,entry:S03
bellevue_150th_eastgate,A5,exit,0,exit:S02
bellevue_150th_eastgate,A5,exit,1,exit:S03
bellevue_150th_eastgate,A5,exit,2,exit:S00
bellevue_150th_eastgate,A5,exit,3,exit:S01
bellevue_150th_eastgate,A6,entry,0,entry:S02
bellevue_150th_eastgate,A6,entry,1,entry:S00
bellevue_150th_eastgate,A6,entry,2,entry:S01
bellevue_150th_eastgate,A6,entry,3,entry:S03
bellevue_150th_eastgate,A6,exit,0,exit:S02
bellevue_150th_eastgate,A6,exit,1,exit:S03
bellevue_150th_eastgate,A6,exit,2,exit:S00
bellevue_150th_eastgate,A6,exit,3,exit:S01
bellevue_150th_eastgate,A7,entry,0,entry:S01
bellevue_150th_eastgate,A7,entry,1,entry:S00
bellevue_150th_eastgate,A7,entry,2,entry:S00
bellevue_150th_eastgate,A7,entry,3,entry:S01
bellevue_150th_eastgate,A7,exit,0,exit:S01
bellevue_150th_eastgate,A7,exit,1,exit:S00
bellevue_150th_eastgate,A7,exit,2,exit:S00
bellevue_150th_eastgate,A7,exit,3,exit:S01
bellevue_150th_eastgate,A9,entry,0,entry:S02
bellevue_150th_eastgate,A9,entry,1,entry:S00
bellevue_150th_eastgate,A9,entry,2,entry:S01
bellevue_150th_eastgate,A9,entry,3,entry:S03
bellevue_150th_eastgate,A9,exit,0,exit:S02
bellevue_150th_eastgate,A9,exit,1,exit:S03
bellevue_150th_eastgate,A9,exit,2,exit:S00
bellevue_150th_eastgate,A9,exit,3,exit:S01
bellevue_150th_eastgate,sensitivity_heading_w3,entry,0,entry:S02
bellevue_150th_eastgate,sensitivity_heading_w3,entry,1,entry:S00
bellevue_150th_eastgate,sensitivity_heading_w3,entry,2,entry:S01
bellevue_150th_eastgate,sensitivity_heading_w3,entry,3,entry:S03
bellevue_150th_eastgate,sensitivity_heading_w3,exit,0,exit:S02
bellevue_150th_eastgate,sensitivity_heading_w3,exit,1,exit:S03
bellevue_150th_eastgate,sensitivity_heading_w3,exit,2,exit:S00
bellevue_150th_eastgate,sensitivity_heading_w3,exit,3,exit:S01
bellevue_150th_eastgate,sensitivity_heading_w7,entry,0,entry:S02
bellevue_150th_eastgate,sensitivity_heading_w7,entry,1,entry:S00
bellevue_150th_eastgate,sensitivity_heading_w7,entry,2,entry:S01
bellevue_150th_eastgate,sensitivity_heading_w7,entry,3,entry:S03
bellevue_150th_eastgate,sensitivity_heading_w7,exit,0,exit:S02
bellevue_150th_eastgate,sensitivity_heading_w7,exit,1,exit:S03
bellevue_150th_eastgate,sensitivity_heading_w7,exit,2,exit:S00
bellevue_150th_eastgate,sensitivity_heading_w7,exit,3,exit:S01
bellevue_150th_eastgate,sensitivity_self_consistency_q090,entry,0,entry:S02
bellevue_150th_eastgate,sensitivity_self_consistency_q090,entry,1,entry:S00
bellevue_150th_eastgate,sensitivity_self_consistency_q090,entry,2,entry:S01
bellevue_150th_eastgate,sensitivity_self_consistency_q090,entry,3,entry:S03
bellevue_150th_eastgate,sensitivity_self_consistency_q090,exit,0,exit:S02
bellevue_150th_eastgate,sensitivity_self_consistency_q090,exit,1,exit:S03
bellevue_150th_eastgate,sensitivity_self_consistency_q090,exit,2,exit:S00
bellevue_150th_eastgate,sensitivity_self_consistency_q090,exit,3,exit:S01
bellevue_150th_eastgate,sensitivity_self_consistency_q0975,entry,0,entry:S02
bellevue_150th_eastgate,sensitivity_self_consistency_q0975,entry,1,entry:S00
bellevue_150th_eastgate,sensitivity_self_consistency_q0975,entry,2,entry:S01
bellevue_150th_eastgate,sensitivity_self_consistency_q0975,entry,3,entry:S03
bellevue_150th_eastgate,sensitivity_self_consistency_q0975,exit,0,exit:S02
bellevue_150th_eastgate,sensitivity_self_consistency_q0975,exit,1,exit:S03
bellevue_150th_eastgate,sensitivity_self_consistency_q0975,exit,2,exit:S00
bellevue_150th_eastgate,sensitivity_self_consistency_q0975,exit,3,exit:S01
bellevue_150th_se38th,A5,entry,0,entry:S00
bellevue_150th_se38th,A5,entry,1,entry:S03
bellevue_150th_se38th,A5,entry,2,entry:S01
bellevue_150th_se38th,A5,entry,3,entry:S03
bellevue_150th_se38th,A5,entry,4,entry:S04
bellevue_150th_se38th,A5,entry,5,entry:S04
bellevue_150th_se38th,A5,entry,6,entry:S02
bellevue_150th_se38th,A5,exit,0,exit:S01
bellevue_150th_se38th,A5,exit,1,exit:S00
bellevue_150th_se38th,A5,exit,2,exit:S00
bellevue_150th_se38th,A6,entry,0,entry:S00
bellevue_150th_se38th,A6,entry,1,entry:S03
bellevue_150th_se38th,A6,entry,2,entry:S01
bellevue_150th_se38th,A6,entry,3,entry:S03
bellevue_150th_se38th,A6,entry,4,entry:S04
bellevue_150th_se38th,A6,entry,5,entry:S04
bellevue_150th_se38th,A6,entry,6,entry:S02
bellevue_150th_se38th,A6,exit,0,exit:S01
bellevue_150th_se38th,A6,exit,1,exit:S00
bellevue_150th_se38th,A6,exit,2,exit:S00
bellevue_150th_se38th,A7,entry,0,entry:S00
bellevue_150th_se38th,A7,entry,1,entry:S00
bellevue_150th_se38th,A7,entry,2,entry:S00
bellevue_150th_se38th,A7,entry,3,entry:S00
bellevue_150th_se38th,A7,entry,4,entry:S00
bellevue_150th_se38th,A7,entry,5,entry:S00
bellevue_150th_se38th,A7,entry,6,entry:S00
bellevue_150th_se38th,A7,exit,0,exit:S00
bellevue_150th_se38th,A7,exit,1,exit:S00
bellevue_150th_se38th,A7,exit,2,exit:S00
bellevue_150th_se38th,A9,entry,0,entry:S00
bellevue_150th_se38th,A9,entry,1,entry:S03
bellevue_150th_se38th,A9,entry,2,entry:S01
bellevue_150th_se38th,A9,entry,3,entry:S03
bellevue_150th_se38th,A9,entry,4,entry:S04
bellevue_150th_se38th,A9,entry,5,entry:S04
bellevue_150th_se38th,A9,entry,6,entry:S02
bellevue_150th_se38th,A9,exit,0,exit:S01
bellevue_150th_se38th,A9,exit,1,exit:S00
bellevue_150th_se38th,A9,exit,2,exit:S00
bellevue_150th_se38th,sensitivity_heading_w3,entry,0,entry:S00
bellevue_150th_se38th,sensitivity_heading_w3,entry,1,entry:S03
bellevue_150th_se38th,sensitivity_heading_w3,entry,2,entry:S01
bellevue_150th_se38th,sensitivity_heading_w3,entry,3,entry:S03
bellevue_150th_se38th,sensitivity_heading_w3,entry,4,entry:S04
bellevue_150th_se38th,sensitivity_heading_w3,entry,5,entry:S04
bellevue_150th_se38th,sensitivity_heading_w3,entry,6,entry:S02
bellevue_150th_se38th,sensitivity_heading_w3,exit,0,exit:S01
bellevue_150th_se38th,sensitivity_heading_w3,exit,1,exit:S00
bellevue_150th_se38th,sensitivity_heading_w3,exit,2,exit:S00
bellevue_150th_se38th,sensitivity_heading_w7,entry,0,entry:S00
bellevue_150th_se38th,sensitivity_heading_w7,entry,1,entry:S03
bellevue_150th_se38th,sensitivity_heading_w7,entry,2,entry:S01
bellevue_150th_se38th,sensitivity_heading_w7,entry,3,entry:S03
bellevue_150th_se38th,sensitivity_heading_w7,entry,4,entry:S04
bellevue_150th_se38th,sensitivity_heading_w7,entry,5,entry:S04
bellevue_150th_se38th,sensitivity_heading_w7,entry,6,entry:S02
bellevue_150th_se38th,sensitivity_heading_w7,exit,0,exit:S01
