scene,variant_id,replicate,bootstrap_seed,emd_seed,sampled_trajectory_count,sampled_recording_count,emd_entry_regions,emd_exit_regions,entry_supernodes,exit_supernodes,support_threshold,smg_target,coverage,invalid_replicate,failure_reason
bellevue_116th_ne12th,A6,13,179086021,67039522,809,4,4,4,4,4,0.001,10,1,False,
bellevue_116th_ne12th,A7,13,179086021,67039522,809,4,4,4,1,1,0.005,1,1,False,
bellevue_116th_ne12th,A9,13,179086021,67039522,809,4,4,4,4,4,0.001,10,1,False,
bellevue_116th_ne12th,A5,14,166833178,1714850593,1177,3,4,4,4,4,0.0025,10,1,False,
bellevue_116th_ne12th,A6,14,166833178,1714850593,1177,3,4,4,4,4,0.0025,10,1,False,
bellevue_116th_ne12th,A7,14,166833178,1714850593,1177,3,4,4,2,2,0.005,4,1,False,
bellevue_116th_ne12th,A9,14,166833178,1714850593,1177,3,4,4,4,4,0.0025,10,1,False,
bellevue_116th_ne12th,A5,15,1550427225,873727594,489,3,7,4,5,4,0.001,12,1,False,
bellevue_116th_ne12th,A6,15,1550427225,873727594,489,3,7,4,5,4,0.001,12,1,False,
bellevue_116th_ne12th,A7,15,1550427225,873727594,489,3,7,4,2,1,0.005,2,1,False,
bellevue_116th_ne12th,A9,15,1550427225,873727594,489,3,7,4,5,4,0.001,12,1,False,
bellevue_116th_ne12th,A5,16,2059851107,1131629080,755,4,4,4,4,4,0.0025,10,1,False,
bellevue_116th_ne12th,A6,16,2059851107,1131629080,755,4,4,4,4,4,0.0025,10,1,False,
bellevue_116th_ne12th,A7,16,2059851107,1131629080,755,4,4,4,1,2,0.005,2,1,False,
bellevue_116th_ne12th,A9,16,2059851107,1131629080,755,4,4,4,4,4,0.0025,10,1,False,
bellevue_116th_ne12th,A5,17,401378470,231517684,387,3,7,4,6,3,0.0025,11,1,False,
bellevue_116th_ne12th,A6,17,401378470,231517684,387,3,7,4,6,3,0.0025,11,1,False,
bellevue_116th_ne12th,A7,17,401378470,231517684,387,3,7,4,1,1,0.005,1,1,False,
bellevue_116th_ne12th,A9,17,401378470,231517684,387,3,7,4,6,3,0.0025,11,1,False,
bellevue_116th_ne12th,A5,18,706615373,1003388341,720,3,8,4,7,4,0.005,11,0.995833333333333,False,
