scene,variant_id,support_threshold,support_threshold_percent,support_threshold_absolute_count,n_entry_regions,n_exit_regions,smg_target,od_coverage,smallest_valid_od_pair_share,n_trajectories,target_local_instability,selected
bellevue_150th_newport,A6,0.02,2,49,3,4,6,0.98349153941395,0.0474618241848948,2423,1,False
bellevue_150th_newport,A7,0.001,0.1,3,1,2,2,1,0.365662401981015,2423,0,False
bellevue_150th_newport,A7,0.0025,0.25,7,1,2,2,1,0.365662401981015,2423,0,False
bellevue_150th_newport,A7,0.005,0.5,13,1,2,2,1,0.365662401981015,2423,0,True
bellevue_150th_newport,A7,0.01,1,25,1,2,2,1,0.365662401981015,2423,0,False
bellevue_150th_newport,A7,0.02,2,49,1,2,2,1,0.365662401981015,2423,0,False
bellevue_150th_newport,A9,0.001,0.1,3,3,4,8,1,0.0049525381758151,2423,0,True
bellevue_150th_newport,A9,0.0025,0.25,7,3,4,8,1,0.0049525381758151,2423,0.5,False
bellevue_150th_newport,A9,0.005,0.5,13,3,4,7,0.995047461824185,0.0115559224102352,2423,0.5,False
bellevue_150th_newport,A9,0.01,1,25,3,4,7,0.995047461824185,0.0115559224102352,2423,0.5,False
bellevue_150th_newport,A9,0.02,2,49,3,4,6,0.98349153941395,0.0474618241848948,2423,1,False
bellevue_150th_newport,sensitivity_heading_w3,0.001,0.1,3,3,4,8,1,0.0049525381758151,2423,0,True
bellevue_150th_newport,sensitivity_heading_w3,0.0025,0.25,7,3,4,8,1,0.0049525381758151,2423,0.5,False
bellevue_150th_newport,sensitivity_heading_w3,0.005,0.5,13,3,4,7,0.995047461824185,0.0115559224102352,2423,0.5,False
bellevue_150th_newport,sensitivity_heading_w3,0.01,1,25,3,4,7,0.995047461824185,0.0115559224102352,2423,0.5,False
bellevue_150th_newport,sensitivity_heading_w3,0.02,2,49,3,4,6,0.98349153941395,0.0474618241848948,2423,1,False
bellevue_150th_newport,sensitivity_heading_w7,0.001,0.1,3,3,4,8,1,0.0049525381758151,2423,0,True
bellevue_150th_newport,sensitivity_heading_w7,0.0025,0.25,7,3,4,8,1,0.0049525381758151,2423,0.5,False
bellevue_150th_newport,sensitivity_heading_w7,0.005,0.5,13,3,4,7,0.995047461824185,0.0115559224102352,2423,0.5,False
bellevue_150th_newport,sensitivity_heading_w7,0.01,1,25,3,4,7,0.995047461824185,0.0115559224102352,2423,0.5,False
bellevue_150th_newport,sensitivity_heading_w7,0.02,2,49,3,4,6,0.98349153941395,0.0474618241848948,2423,1,False
bellevue_150th_newport,sensitivity_self_consistency_q090,0.001,0.1,3,4,4,12,1,0.00412711514651259,2423,0,True
bellevue_150th_newport,sensitivity_self_consistency_q090,0.0025,0.25,7,4,4,12,1,0.00412711514651259,2423,1,False
bellevue_150th_newport,sensitivity_self_consistency_q090,0.005,0.5,13,4,4,10,0.990920346677672,0.00619067271976888,2423,2.5,False
bellevue_150th_newport,sensitivity_self_consistency_q090,0.01,1,25,4,4,7,0.969872059430458,0.0474618241848948,2423,1.5,False
bellevue_150th_newport,sensitivity_self_consistency_q090,0.02,2,49,4,4,7,0.969872059430458,0.0474618241848948,2423,0,False
bellevue_150th_newport,sensitivity_self_consistency_q0975,0.001,0.1,3,3,4,8,1,0.0049525381758151,2423,0,True
bellevue_150th_newport,sensitivity_self_consistency_q0975,0.0025,0.25,7,3,4,8,1,0.0049525381758151,2423,0.5,False
bellevue_150th_newport,sensitivity_self_consistency_q0975,0.005,0.5,13,3,4,7,0.995047461824185,0.0115559224102352,2423,0.5,False
bellevue_150th_newport,sensitivity_self_consistency_q0975,0.01,1,25,3,4,7,0.995047461824185,0.0115559224102352,2423,0.5,False
bellevue_150th_newport,sensitivity_self_consistency_q0975,0.02,2,49,3,4,6,0.98349153941395,0.0474618241848948,2423,1,False
bellevue_150th_eastgate,A5,0.001,0.1,9,4,4,11,0.999197247706422,0.00172018348623853,8720,1,False
bellevue_150th_eastgate,A5,0.0025,0.25,22,4,4,10,0.997477064220183,0.00321100917431193,8720,1,False
bellevue_150th_eastgate,A5,0.005,0.5,44,4,4,9,0.994266055045872,0.0181192660550459,8720,0.5,True
bellevue_150th_eastgate,A5,0.01,1,88,4,4,9,0.994266055045872,0.0181192660550459,8720,0.5,False
bellevue_150th_eastgate,A5,0.02,2,175,4,4,8,0.976146788990826,0.0291284403669725,8720,1,False
bellevue_150th_eastgate,A6,0.001,0.1,9,4,4,11,0.999197247706422,0.00172018348623853,8720,1,False
bellevue_150th_eastgate,A6,0.0025,0.25,22,4,4,10,0.997477064220183,0.00321100917431193,8720,1,False
bellevue_150th_eastgate,A6,0.005,0.5,44,4,4,9,0.994266055045872,0.0181192660550459,8720,0.5,True
bellevue_150th_eastgate,A6,0.01,1,88,4,4,9,0.994266055045872,0.0181192660550459,8720,0.5,False
bellevue_150th_eastgate,A6,0.02,2,175,4,4,8,0.976146788990826,0.0291284403669725,8720,1,False
bellevue_150th_eastgate,A7,0.001,0.1,9,2,2,4,1,0.0735091743119266,8720,0,False
bellevue_150th_eastgate,A7,0.0025,0.25,22,2,2,4,1,0.0735091743119266,8720,0,False
bellevue_150th_eastgate,A7,0.005,0.5,44,2,2,4,1,0.0735091743119266,8720,0,True
bellevue_150th_eastgate,A7,0.01,1,88,2,2,4,1,0.0735091743119266,8720,0,False
bellevue_150th_eastgate,A7,0.02,2,175,2,2,4,1,0.0735091743119266,8720,0,False
bellevue_150th_eastgate,A9,0.001,0.1,9,4,4,11,0.999197247706422,0.00172018348623853,8720,1,False
bellevue_150th_eastgate,A9,0.0025,0.25,22,4,4,10,0.997477064220183,0.00321100917431193,8720,1,False
bellevue_150th_eastgate,A9,0.005,0.5,44,4,4,9,0.994266055045872,0.0181192660550459,8720,0.5,True
bellevue_150th_eastgate,A9,0.01,1,88,4,4,9,0.994266055045872,0.0181192660550459,8720,0.5,False
bellevue_150th_eastgate,A9,0.02,2,175,4,4,8,0.976146788990826,0.0291284403669725,8720,1,False
bellevue_150th_eastgate,sensitivity_heading_w3,0.001,0.1,9,4,4,11,0.999197247706422,0.00172018348623853,8720,1,False
bellevue_150th_eastgate,sensitivity_heading_w3,0.0025,0.25,22,4,4,10,0.997477064220183,0.00321100917431193,8720,1,False
bellevue_150th_eastgate,sensitivity_heading_w3,0.005,0.5,44,4,4,9,0.994266055045872,0.0181192660550459,8720,0.5,True
bellevue_150th_eastgate,sensitivity_heading_w3,0.01,1,88,4,4,9,0.994266055045872,0.0181192660550459,8720,0.5,False
bellevue_150th_eastgate,sensitivity_heading_w3,0.02,2,175,4,4,8,0.976146788990826,0.0291284403669725,8720,1,False
bellevue_150th_eastgate,sensitivity_heading_w7,0.001,0.1,9,4,4,11,0.999197247706422,0.00172018348623853,8720,1,False
bellevue_150th_eastgate,sensitivity_heading_w7,0.0025,0.25,22,4,4,10,0.997477064220183,0.00321100917431193,8720,1,False
bellevue_150th_eastgate,sensitivity_heading_w7,0.005,0.5,44,4,4,9,0.994266055045872,0.0181192660550459,8720,0.5,True
bellevue_150th_eastgate,sensitivity_heading_w7,0.01,1,88,4,4,9,0.994266055045872,0.0181192660550459,8720,0.5,False
bellevue_150th_eastgate,sensitivity_heading_w7,0.02,2,175,4,4,8,0.976146788990826,0.0291284403669725,8720,1,False
bellevue_150th_eastgate,sensitivity_self_consistency_q090,0.001,0.1,9,4,4,11,0.999197247706422,0.00172018348623853,8720,1,False
bellevue_150th_eastgate,sensitivity_self_consistency_q090,0.0025,0.25,22,4,4,10,0.997477064220183,0.00321100917431193,8720,1,False
bellevue_150th_eastgate,sensitivity_self_consistency_q090,0.005,0.5,44,4,4,9,0.994266055045872,0.0181192660550459,8720,0.5,True
bellevue_150th_eastgate,sensitivity_self_consistency_q090,0.01,1,88,4,4,9,0.994266055045872,0.0181192660550459,8720,0.5,False
bellevue_150th_eastgate,sensitivity_self_consistency_q090,0.02,2,175,4,4,8,0.976146788990826,0.0291284403669725,8720,1,False
bellevue_150th_eastgate,sensitivity_self_consistency_q0975,0.001,0.1,9,4,4,11,0.999197247706422,0.00172018348623853,8720,1,False
bellevue_150th_eastgate,sensitivity_self_consistency_q0975,0.0025,0.25,22,4,4,10,0.997477064220183,0.00321100917431193,8720,1,False
bellevue_150th_eastgate,sensitivity_self_consistency_q0975,0.005,0.5,44,4,4,9,0.994266055045872,0.0181192660550459,8720,0.5,True
bellevue_150th_eastgate,sensitivity_self_consistency_q0975,0.01,1,88,4,4,9,0.994266055045872,0.0181192660550459,8720,0.5,False
bellevue_150th_eastgate,sensitivity_self_consistency_q0975,0.02,2,175,4,4,8,0.976146788990826,0.0291284403669725,8720,1,False
bellevue_150th_se38th,A5,0.001,0.1,3,5,2,10,1,0.00443190975020145,2482,0,True
bellevue_150th_se38th,A5,0.0025,0.25,7,5,2,10,1,0.00443190975020145,2482,0.5,False
bellevue_150th_se38th,A5,0.005,0.5,13,5,2,9,0.995568090249799,0.024576954069299,2482,0.5,False
bellevue_150th_se38th,A5,0.01,1,25,5,2,9,0.995568090249799,0.024576954069299,2482,0,False
bellevue_150th_se38th,A5,0.02,2,50,5,2,9,0.995568090249799,0.024576954069299,2482,0,False
bellevue_150th_se38th,A6,0.001,0.1,3,5,2,10,1,0.00443190975020145,2482,0,True
bellevue_150th_se38th,A6,0.0025,0.25,7,5,2,10,1,0.00443190975020145,2482,0.5,False
bellevue_150th_se38th,A6,0.005,0.5,13,5,2,9,0.995568090249799,0.024576954069299,2482,0.5,False
bellevue_150th_se38th,A6,0.01,1,25,5,2,9,0.995568090249799,0.024576954069299,2482,0,False
bellevue_150th_se38th,A6,0.02,2,50,5,2,9,0.995568090249799,0.024576954069299,2482,0,False
bellevue_150th_se38th,A7,0.001,0.1,3,1,1,1,1,1,2482,0,False
bellevue_150th_se38th,A7,0.0025,0.25,7,1,1,1,1,1,2482,0,False
bellevue_150th_se38th,A7,0.005,0.5,13,1,1,1,1,1,2482,0,True
bellevue_150th_se38th,A7,0.01,1,25,1,1,1,1,1,2482,0,False
bellevue_150th_se38th,A7,0.02,2,50,1,1,1,1,1,2482,0,False
bellevue_150th_se38th,A9,0.001,0.1,3,5,2,10,1,0.00443190975020145,2482,0,True
bellevue_150th_se38th,A9,0.0025,0.25,7,5,2,10,1,0.00443190975020145,2482,0.5,False
bellevue_150th_se38th,A9,0.005,0.5,13,5,2,9,0.995568090249799,0.024576954069299,2482,0.5,False
bellevue_150th_se38th,A9,0.01,1,25,5,2,9,0.995568090249799,0.024576954069299,2482,0,False
bellevue_150th_se38th,A9,0.02,2,50,5,2,9,0.995568090249799,0.024576954069299,2482,0,False
bellevue_150th_se38th,sensitivity_heading_w3,0.001,0.1,3,5,2,10,1,0.00443190975020145,2482,0,True
bellevue_150th_se38th,sensitivity_heading_w3,0.0025,0.25,7,5,2,10,1,0.00443190975020145,2482,0.5,False
bellevue_150th_se38th,sensitivity_heading_w3,0.005,0.5,13,5,2,9,0.995568090249799,0.024576954069299,2482,0.5,False
bellevue_150th_se38th,sensitivity_heading_w3,0.01,1,25,5,2,9,0.995568090249799,0.024576954069299,2482,0,False
bellevue_150th_se38th,sensitivity_heading_w3,0.02,2,50,5,2,9,0.995568090249799,0.024576954069299,2482,0,False
bellevue_150th_se38th,sensitivity_heading_w7,0.001,0.1,3,5,2,10,1,0.00443190975020145,2482,0,True
bellevue_150th_se38th,sensitivity_heading_w7,0.0025,0.25,7,5,2,10,1,0.00443190975020145,2482,0.5,False
bellevue_150th_se38th,sensitivity_heading_w7,0.005,0.5,13,5,2,9,0.995568090249799,0.024576954069299,2482,0.5,False
bellevue_150th_se38th,sensitivity_heading_w7,0.01,1,25,5,2,9,0.995568090249799,0.024576954069299,2482,0,False
bellevue_150th_se38th,sensitivity_heading_w7,0.02,2,50,5,2,9,0.995568090249799,0.024576954069299,2482,0,False
bellevue_150th_se38th,sensitivity_self_consistency_q090,0.001,0.1,3,6,2,12,1,0.00443190975020145,2482,0,True
bellevue_150th_se38th,sensitivity_self_consistency_q090,0.0025,0.25,7,6,2,12,1,0.00443190975020145,2482,0.5,False
bellevue_150th_se38th,sensitivity_self_consistency_q090,0.005,0.5,13,6,2,11,0.995568090249799,0.0064464141821112,2482,1,False
bellevue_150th_se38th,sensitivity_self_consistency_q090,0.01,1,25,6,2,10,0.989121676067687,0.024576954069299,2482,0.5,False
bellevue_150th_se38th,sensitivity_self_consistency_q090,0.02,2,50,6,2,10,0.989121676067687,0.024576954069299,2482,0,False
