scene,method,candidate_id,trial_index,params_json,original_score,original_rank,minimum_score,maximum_score,mean_score,std_score,score_range
bellevue_150th_se38th,optics,bellevue_150th_se38th|optics|trial_011,11,"{""max_eps"": 0.037180729231304936, ""min_samples"": 80, ""xi"": 0.05}",0.47549412635125937,9,0.2589885145578806,0.9176877645402828,0.6313341743011344,0.1228812335497851,0.6586992499824023
bellevue_150th_se38th,optics,bellevue_150th_se38th|optics|trial_012,12,"{""max_eps"": 0.09623894321033927, ""min_samples"": 80, ""xi"": 0.05}",0.5790754673583373,5,0.412708429014839,0.9165811042443274,0.6948908553019639,0.09365510471826018,0.5038726752294884
bellevue_150th_se38th,optics,bellevue_150th_se38th|optics|trial_013,13,"{""max_eps"": 0.0105626297519378, ""min_samples"": 80, ""xi"": 0.07}",0.33020697472475835,16,0.18147231589429183,0.7744238895333664,0.45814555006301594,0.11425438244739926,0.5929515736390746
bellevue_150th_se38th,optics,bellevue_150th_se38th|optics|trial_014,14,"{""max_eps"": 0.020337294551748715, ""min_samples"": 80, ""xi"": 0.07}",0.4655336624421137,12,0.2523978923714689,0.9146262677135989,0.6210466895808723,0.12305512986455905,0.66222837534213
bellevue_150th_se38th,optics,bellevue_150th_se38th|optics|trial_015,15,"{""max_eps"": 0.037180729231304936, ""min_samples"": 80, ""xi"": 0.07}",0.47549412635125937,10,0.2589885145578806,0.9176877645402828,0.6313341743011344,0.1228812335497851,0.6586992499824023
bellevue_150th_se38th,optics,bellevue_150th_se38th|optics|trial_016,16,"{""max_eps"": 0.09623894321033927, ""min_samples"": 80, ""xi"": 0.07}",0.5918856617259634,4,0.4214927342325007,0.9160024997137386,0.707794421610296,0.09469310449834077,0.4945097654812379
bellevue_ne8th,hdbscan,bellevue_ne8th|hdbscan|trial_001,1,"{""min_cluster_size"": 80, ""min_samples"": 10}",0.6362190499851355,5,0.504323824946607,0.8734542600674682,0.7168700445106096,0.06796159816617804,0.3691304351208612
bellevue_ne8th,hdbscan,bellevue_ne8th|hdbscan|trial_002,2,"{""min_cluster_size"": 80, ""min_samples"": 20}",0.6360172462567922,6,0.5059094227949409,0.8725138748274044,0.7182210535774985,0.06822045555769403,0.3666044520324635
bellevue_ne8th,hdbscan,bellevue_ne8th|hdbscan|trial_003,3,"{""min_cluster_size"": 160, ""min_samples"": 10}",0.9273416750207414,1,0.7392221926772501,0.9855724196705955,0.8788195387776332,0.04303216368601449,0.2463502269933454
bellevue_ne8th,hdbscan,bellevue_ne8th|hdbscan|trial_004,4,"{""min_cluster_size"": 160, ""min_samples"": 20}",0.925970404687402,2,0.7415113177029617,0.9845769918746557,0.8775340839218471,0.042522101126015316,0.243065674171694
bellevue_ne8th,hdbscan,bellevue_ne8th|hdbscan|trial_005,5,"{""min_cluster_size"": 320, ""min_samples"": 10}",0.7324475726000339,3,0.6693950620250282,0.8517792261743813,0.7528907321202021,0.033202908672288874,0.1823841641493531
bellevue_ne8th,hdbscan,bellevue_ne8th|hdbscan|trial_006,6,"{""min_cluster_size"": 320, ""min_samples"": 20}",0.7318664969634192,4,0.6703124987426592,0.8505795731069913,0.7529141816974873,0.03274133963957075,0.1802670743643321
bellevue_ne8th,kmeans,bellevue_ne8th|kmeans|trial_001,1,"{""max_iter"": 300, ""n_clusters"": 2, ""n_init"": 10}",0.4889336077306953,15,0.2937950599283117,0.9643503863868474,0.5769233488731186,0.10478323595137295,0.6705553264585358
bellevue_ne8th,kmeans,bellevue_ne8th|kmeans|trial_002,2,"{""max_iter"": 300, ""n_clusters"": 3, ""n_init"": 10}",0.5664521841281425,13,0.39735660765491065,0.9701192143735528,0.6453158306496036,0.0895530923709365,0.5727626067186421
bellevue_ne8th,kmeans,bellevue_ne8th|kmeans|trial_003,3,"{""max_iter"": 300, ""n_clusters"": 4, ""n_init"": 10}",0.6490813208630022,11,0.5014111864785888,0.9762360124344382,0.7226116963321529,0.07520398709199562,0.4748248259558494
bellevue_ne8th,kmeans,bellevue_ne8th|kmeans|trial_004,4,"{""max_iter"": 300, ""n_clusters"": 5, ""n_init"": 10}",0.711746252797741,9,0.5987149950910919,0.9805266687663268,0.7649702079244013,0.06027005774210915,0.38181167367523483
bellevue_ne8th,kmeans,bellevue_ne8th|kmeans|trial_005,5,"{""max_iter"": 300, ""n_clusters"": 6, ""n_init"": 10}",0.774615127288589,7,0.6927011112022119,0.9833660360428949,0.8074023535398399,0.04493147631731552,0.29066492484068296
bellevue_ne8th,kmeans,bellevue_ne8th|kmeans|trial_006,6,"{""max_iter"": 300, ""n_clusters"": 7, ""n_init"": 10}",0.8328594224097188,5,0.773053528288333,0.9851372016864672,0.8415783032281166,0.03412674749936369,0.21208367339813428
bellevue_ne8th,kmeans,bellevue_ne8th|kmeans|trial_007,7,"{""max_iter"": 300, ""n_clusters"": 8, ""n_init"": 10}",0.8934764964761521,3,0.7853056611927751,0.9887891618440067,0.880273684269439,0.029603535572224744,0.20348350065123155
bellevue_ne8th,kmeans,bellevue_ne8th|kmeans|trial_008,8,"{""max_iter"": 300, ""n_clusters"": 9, ""n_init"": 10}",0.9501870492073201,1,0.7894976540387113,0.993472477832136,0.9118884815679532,0.03750799411269582,0.2039748237934247
bellevue_ne8th,kmeans,bellevue_ne8th|kmeans|trial_009,9,"{""max_iter"": 300, ""n_clusters"": 10, ""n_init"": 10}",0.8956442189472456,2,0.7855774113683198,0.9895457470957892,0.8841771223102503,0.02887584536541179,0.20396833572746942
bellevue_ne8th,kmeans,bellevue_ne8th|kmeans|trial_010,10,"{""max_iter"": 300, ""n_clusters"": 11, ""n_init"": 10}",0.8372222946934893,4,0.7828937220143497,0.9861464672568141,0.8493627269533164,0.031789351511262824,0.2032527452424644
bellevue_ne8th,kmeans,bellevue_ne8th|kmeans|trial_011,11,"{""max_iter"": 300, ""n_clusters"": 12, ""n_init"": 10}",0.7746258973442822,6,0.6877554650855511,0.9819083652043825,0.8071368377324617,0.0443009846086334,0.29415290011883144
bellevue_ne8th,kmeans,bellevue_ne8th|kmeans|trial_012,12,"{""max_iter"": 300, ""n_clusters"": 13, ""n_init"": 10}",0.7144074438099016,8,0.5929020679128549,0.9772505536042398,0.7690038592121706,0.05920057149696884,0.3843484856913849
bellevue_ne8th,kmeans,bellevue_ne8th|kmeans|trial_013,13,"{""max_iter"": 300, ""n_clusters"": 14, ""n_init"": 10}",0.6510222968053496,10,0.4950135388783427,0.9728191016835388,0.725386938586579,0.0755250630277449,0.4778055628051961
bellevue_ne8th,kmeans,bellevue_ne8th|kmeans|trial_014,14,"{""max_iter"": 300, ""n_clusters"": 15, ""n_init"": 10}",0.5976168407978079,12,0.4062894875416742,0.9717632649029961,0.6997263679610854,0.09294756677853006,0.5654737773613219
bellevue_ne8th,kmeans,bellevue_ne8th|kmeans|trial_015,15,"{""max_iter"": 300, ""n_clusters"": 16, ""n_init"": 10}",0.5419218639637432,14,0.315442833998504,0.970002449710476,0.6699499773142026,0.1111432784809729,0.654559615711972
bellevue_ne8th,kmeans,bellevue_ne8th|kmeans|trial_016,16,"{""max_iter"": 300, ""n_clusters"": 17, ""n_init"": 10}",0.4862617851014803,16,0.22389540297647217,0.9680988104927962,0.6401865634145496,0.12999691386673468,0.7442034075163241
bellevue_ne8th,kmeans,bellevue_ne8th|kmeans|trial_017,17,"{""max_iter"": 300, ""n_clusters"": 18, ""n_init"": 10}",0.4285420957330649,19,0.13145460391785202,0.9656928248151915,0.6067840387214815,0.14824962982053935,0.8342382208973395
bellevue_ne8th,kmeans,bellevue_ne8th|kmeans|trial_018,18,"{""max_iter"": 300, ""n_clusters"": 19, ""n_init"": 10}",0.42833361851225543,21,0.13081598805630887,0.9655260961780543,0.6063784035269242,0.1483086432785227,0.8347101081217454
bellevue_ne8th,kmeans,bellevue_ne8th|kmeans|trial_019,19,"{""max_iter"": 300, ""n_clusters"": 20, ""n_init"": 10}",0.42837962687864034,20,0.1310068340957102,0.9655705602820711,0.6064711186203596,0.14828120061305347,0.8345637261863609
