scope,scene,method,statistic,variable_x,variable_y,value
scene_method,bellevue_116th_ne12th,kmeans,pearson_with_original_EMAS,O,EMAS_HG,
scene_method,bellevue_116th_ne12th,kmeans,fraction_at_zero,O,,0.0
scene_method,bellevue_116th_ne12th,kmeans,fraction_at_one,O,,1.0
scene_method,bellevue_116th_ne12th,kmeans,variance,B,,0.0140537563230192
scene_method,bellevue_116th_ne12th,kmeans,pearson_with_original_EMAS,B,EMAS_HG,-0.3457425508968238
scene_method,bellevue_116th_ne12th,kmeans,fraction_at_zero,B,,0.0
scene_method,bellevue_116th_ne12th,kmeans,fraction_at_one,B,,0.0
scene_method,bellevue_116th_ne12th,kmeans,variance,S,,0.002659292282610754
scene_method,bellevue_116th_ne12th,kmeans,pearson_with_original_EMAS,S,EMAS_HG,0.9469913906190454
scene_method,bellevue_116th_ne12th,kmeans,fraction_at_zero,S,,0.0
scene_method,bellevue_116th_ne12th,kmeans,fraction_at_one,S,,0.0
scene_method,bellevue_116th_ne12th,kmeans,variance,D,,0.0048890775811553985
scene_method,bellevue_116th_ne12th,kmeans,pearson_with_original_EMAS,D,EMAS_HG,0.9280870654427004
scene_method,bellevue_116th_ne12th,kmeans,fraction_at_zero,D,,0.0
scene_method,bellevue_116th_ne12th,kmeans,fraction_at_one,D,,0.0
scene_method,bellevue_116th_ne12th,kmeans,component_pearson,T,T,0.9999999999999999
scene_method,bellevue_116th_ne12th,kmeans,component_pearson,T,O,
scene_method,bellevue_116th_ne12th,kmeans,component_pearson,T,B,-0.4115244803907936
scene_method,bellevue_116th_ne12th,kmeans,component_pearson,T,S,0.9385555149676138
scene_method,bellevue_116th_ne12th,kmeans,component_pearson,T,D,0.9074043501500748
scene_method,bellevue_116th_ne12th,kmeans,component_pearson,O,O,1.0
scene_method,bellevue_116th_ne12th,kmeans,component_pearson,O,B,
scene_method,bellevue_116th_ne12th,kmeans,component_pearson,O,S,
scene_method,bellevue_116th_ne12th,kmeans,component_pearson,O,D,
scene_method,bellevue_116th_ne12th,kmeans,component_pearson,B,B,1.0
scene_method,bellevue_116th_ne12th,kmeans,component_pearson,B,S,-0.34656043717257984
scene_method,bellevue_116th_ne12th,kmeans,component_pearson,B,D,-0.1867907381637362
scene_method,bellevue_116th_ne12th,kmeans,component_pearson,S,S,1.0
scene_method,bellevue_116th_ne12th,kmeans,component_pearson,S,D,0.9747882152847311
scene_method,bellevue_116th_ne12th,kmeans,component_pearson,D,D,1.0
scene_method,bellevue_116th_ne12th,optics,variance,T,,0.0275
scene_method,bellevue_116th_ne12th,optics,pearson_with_original_EMAS,T,EMAS_HG,0.9753556161785546
scene_method,bellevue_116th_ne12th,optics,fraction_at_zero,T,,0.125
scene_method,bellevue_116th_ne12th,optics,fraction_at_one,T,,0.0
scene_method,bellevue_116th_ne12th,optics,variance,O,,0.08575965870642557
scene_method,bellevue_116th_ne12th,optics,pearson_with_original_EMAS,O,EMAS_HG,0.9302966748931703
scene_method,bellevue_116th_ne12th,optics,fraction_at_zero,O,,0.125
scene_method,bellevue_116th_ne12th,optics,fraction_at_one,O,,0.0
scene_method,bellevue_116th_ne12th,optics,variance,B,,0.044380107410676495
scene_method,bellevue_116th_ne12th,optics,pearson_with_original_EMAS,B,EMAS_HG,0.7573300582472448
scene_method,bellevue_116th_ne12th,optics,fraction_at_zero,B,,0.125
scene_method,bellevue_116th_ne12th,optics,fraction_at_one,B,,0.0
scene_method,bellevue_116th_ne12th,optics,variance,S,,0.03756062033430671
scene_method,bellevue_116th_ne12th,optics,pearson_with_original_EMAS,S,EMAS_HG,0.9210978755256647
scene_method,bellevue_116th_ne12th,optics,fraction_at_zero,S,,0.0
scene_method,bellevue_116th_ne12th,optics,fraction_at_one,S,,0.0
scene_method,bellevue_116th_ne12th,optics,variance,D,,0.027580828352389317
scene_method,bellevue_116th_ne12th,optics,pearson_with_original_EMAS,D,EMAS_HG,0.8426040451550892
scene_method,bellevue_116th_ne12th,optics,fraction_at_zero,D,,0.0
scene_method,bellevue_116th_ne12th,optics,fraction_at_one,D,,0.0
scene_method,bellevue_116th_ne12th,optics,component_pearson,T,T,1.0
scene_method,bellevue_116th_ne12th,optics,component_pearson,T,O,0.8862711695581444
scene_method,bellevue_116th_ne12th,optics,component_pearson,T,B,0.6682338253506792
scene_method,bellevue_116th_ne12th,optics,component_pearson,T,S,0.8583823476142997
scene_method,bellevue_116th_ne12th,optics,component_pearson,T,D,0.7892386013888819
scene_method,bellevue_116th_ne12th,optics,component_pearson,O,O,1.0
scene_method,bellevue_116th_ne12th,optics,component_pearson,O,B,0.596197835670316
scene_method,bellevue_116th_ne12th,optics,component_pearson,O,S,0.7778538179988624
scene_method,bellevue_116th_ne12th,optics,component_pearson,O,D,0.6443742029778949
scene_method,bellevue_116th_ne12th,optics,component_pearson,B,B,1.0
scene_method,bellevue_116th_ne12th,optics,component_pearson,B,S,0.7758892754442315
scene_method,bellevue_116th_ne12th,optics,component_pearson,B,D,0.7395256630605915
scene_method,bellevue_116th_ne12th,optics,component_pearson,S,S,1.0
scene_method,bellevue_116th_ne12th,optics,component_pearson,S,D,0.9784266457103932
scene_method,bellevue_116th_ne12th,optics,component_pearson,D,D,0.9999999999999999
scene_method,bellevue_150th_eastgate,hdbscan,variance,T,,0.05212620027434841
scene_method,bellevue_150th_eastgate,hdbscan,pearson_with_original_EMAS,T,EMAS_HG,0.9993302909297821
scene_method,bellevue_150th_eastgate,hdbscan,fraction_at_zero,T,,0.0
scene_method,bellevue_150th_eastgate,hdbscan,fraction_at_one,T,,0.0
scene_method,bellevue_150th_eastgate,hdbscan,variance,O,,0.0005450819755370334
scene_method,bellevue_150th_eastgate,hdbscan,pearson_with_original_EMAS,O,EMAS_HG,0.9168174432133985
scene_method,bellevue_150th_eastgate,hdbscan,fraction_at_zero,O,,0.0
scene_method,bellevue_150th_eastgate,hdbscan,fraction_at_one,O,,0.0
scene_method,bellevue_150th_eastgate,hdbscan,variance,B,,3.6077035688314548e-06
scene_method,bellevue_150th_eastgate,hdbscan,pearson_with_original_EMAS,B,EMAS_HG,-0.5684292935581217
scene_method,bellevue_150th_eastgate,hdbscan,fraction_at_zero,B,,0.0
scene_method,bellevue_150th_eastgate,hdbscan,fraction_at_one,B,,0.0
scene_method,bellevue_150th_eastgate,hdbscan,variance,S,,9.414807833732443e-05
scene_method,bellevue_150th_eastgate,hdbscan,pearson_with_original_EMAS,S,EMAS_HG,0.5303354267174247
scene_method,bellevue_150th_eastgate,hdbscan,fraction_at_zero,S,,0.0
scene_method,bellevue_150th_eastgate,hdbscan,fraction_at_one,S,,0.0
scene_method,bellevue_150th_eastgate,hdbscan,variance,D,,0.000281395882109974
scene_method,bellevue_150th_eastgate,hdbscan,pearson_with_original_EMAS,D,EMAS_HG,0.30881038331389016
scene_method,bellevue_150th_eastgate,hdbscan,fraction_at_zero,D,,0.0
scene_method,bellevue_150th_eastgate,hdbscan,fraction_at_one,D,,0.0
scene_method,bellevue_150th_eastgate,hdbscan,component_pearson,T,T,1.0
scene_method,bellevue_150th_eastgate,hdbscan,component_pearson,T,O,0.9019155552600211
scene_method,bellevue_150th_eastgate,hdbscan,component_pearson,T,B,-0.5679131048988894
scene_method,bellevue_150th_eastgate,hdbscan,component_pearson,T,S,0.4997802287762243
scene_method,bellevue_150th_eastgate,hdbscan,component_pearson,T,D,0.2747087940107573
scene_method,bellevue_150th_eastgate,hdbscan,component_pearson,O,O,1.0
scene_method,bellevue_150th_eastgate,hdbscan,component_pearson,O,B,-0.4547602963032209
scene_method,bellevue_150th_eastgate,hdbscan,component_pearson,O,S,0.7924584289710774
scene_method,bellevue_150th_eastgate,hdbscan,component_pearson,O,D,0.6269576128242321
scene_method,bellevue_150th_eastgate,hdbscan,component_pearson,B,B,1.0
scene_method,bellevue_150th_eastgate,hdbscan,component_pearson,B,S,-0.45646859183950594
scene_method,bellevue_150th_eastgate,hdbscan,component_pearson,B,D,-0.35652853731110806
scene_method,bellevue_150th_eastgate,hdbscan,component_pearson,S,S,1.0
scene_method,bellevue_150th_eastgate,hdbscan,component_pearson,S,D,0.9683155767384183
scene_method,bellevue_150th_eastgate,hdbscan,component_pearson,D,D,1.0
scene_method,bellevue_150th_eastgate,kmeans,variance,T,,0.11379750737657993
scene_method,bellevue_150th_eastgate,kmeans,pearson_with_original_EMAS,T,EMAS_HG,0.9966624134409893
scene_method,bellevue_150th_eastgate,kmeans,fraction_at_zero,T,,0.4482758620689655
scene_method,bellevue_150th_eastgate,kmeans,fraction_at_one,T,,0.034482758620689655
scene_method,bellevue_150th_eastgate,kmeans,variance,O,,0.0
scene_method,bellevue_150th_eastgate,kmeans,pearson_with_original_EMAS,O,EMAS_HG,
scene_method,bellevue_150th_eastgate,kmeans,fraction_at_zero,O,,0.0
scene_method,bellevue_150th_eastgate,kmeans,fraction_at_one,O,,1.0
scene_method,bellevue_150th_eastgate,kmeans,variance,B,,0.01152207489691649
scene_method,bellevue_150th_eastgate,kmeans,pearson_with_original_EMAS,B,EMAS_HG,-0.34451785243561384
scene_method,bellevue_150th_eastgate,kmeans,fraction_at_zero,B,,0.0
scene_method,bellevue_150th_eastgate,kmeans,fraction_at_one,B,,0.0
scene_method,bellevue_150th_eastgate,kmeans,variance,S,,0.002260152938312627
scene_method,bellevue_150th_eastgate,kmeans,pearson_with_original_EMAS,S,EMAS_HG,0.884036899019302
scene_method,bellevue_150th_eastgate,kmeans,fraction_at_zero,S,,0.0
