comparison_id,metric,mean_delta,median_delta,min_delta,max_delta,bootstrap_ci95_low,bootstrap_ci95_high
A1_minus_A0,observed_target_abs_error,-0.6666666666666666,-0.6666666666666665,-3.333333333333333,0.6666666666666667,-2.0,0.4
A1_minus_A0,nmi,0.02202328410593335,0.01161426639599994,-0.07281840081166668,0.0914226447526667,-0.027711458448466654,0.06650956368733336
A1_minus_A0,ari,-0.004340721076133281,0.005711462045333349,-0.15889447354733333,0.08660153388266678,-0.08636110968066664,0.07001018650720008
A1_minus_A0,macro_f1,0.05101257350493329,0.07661557793566676,-0.0805580883910001,0.2014928937603333,-0.03683235619066676,0.1387936708324667
A1_minus_A0,noise_pct_all_test,-5.6128365015499995,-5.300713557583333,-19.0771164377,3.6373439509100027,-12.470460303878667,0.7176670778706686
A5_minus_A1,observed_target_abs_error,-0.4000000000000001,-0.3333333333333335,-2.0,0.9999999999999998,-1.268333333333332,0.39999999999999986
A5_minus_A1,nmi,0.0010270972336000384,0.0,-0.046275287177000024,0.04027828203833339,-0.026080107479799962,0.0263934674843334
A5_minus_A1,ari,0.016531747032733322,0.0,-0.05246886127866668,0.10044608340600003,-0.026928854955199987,0.06720395265086668
A5_minus_A1,macro_f1,-0.011534815199266557,0.0,-0.057748442578666515,0.03955865542633352,-0.042545923315999865,0.018629516697600136
A5_minus_A1,noise_pct_all_test,0.3956880737666662,0.0,-0.024794669133333613,2.0032350379666646,-0.014876801480000168,1.2019410227799987
A5_minus_resampled_trajectory,observed_target_abs_error,-0.8666666666666666,-0.6666666666666667,-2.6666666666666665,0.9999999999999998,-2.0,0.26666666666666655
A5_minus_resampled_trajectory,nmi,0.1559289889455333,0.17828233075833333,0.010152898782999853,0.22864060455300006,0.07860556139646657,0.21721070185940006
A5_minus_resampled_trajectory,ari,0.16573794743245404,0.16947690143987004,-0.06180666288399994,0.30189913696470005,0.04674007459794005,0.2622562625981686
A5_minus_resampled_trajectory,macro_f1,0.1970921879023734,0.2147003586022334,0.119783859183,0.23973289541743342,0.15775045895069337,0.22608850251230006
A5_minus_resampled_trajectory,noise_pct_all_test,-14.680528033465734,-16.77888499863667,-23.122663948357335,0.18248932025666775,-20.6408038515508,-6.627222515964266
A5_minus_strongest_endpoint,observed_target_abs_error,-1.3333333333333335,-1.3333333333333335,-2.666666666666667,0.33333333333333304,-2.2,-0.40000000000000024
A5_minus_strongest_endpoint,nmi,0.1286586458224,0.17530561559333335,0.00681403233799982,0.19981384065399999,0.056360367508133245,0.18739460867520003
A5_minus_strongest_endpoint,ari,0.17464756403380202,0.1978498735786668,-0.008304160516333425,0.3003638075974667,0.07415745312166666,0.25782876278780004
A5_minus_strongest_endpoint,macro_f1,0.1013614227801067,0.1220843585946666,-0.005177305487999995,0.15495157940766668,0.04555789907806669,0.14502896305781335
A5_minus_strongest_endpoint,noise_pct_all_test,-14.08648957394,-19.017980636233332,-20.480801902816665,-1.7460909958099968,-19.795539834773333,-6.885169464453997
