method_family,method_label,variant_id,scene_id,method,configuration_id,total_test_trajectories,valid_reference_trajectories,excluded_reference_trajectories,reference_coverage_pct,observed_target_abs_error,legal_target_abs_error,n_non_noise_clusters,noise_pct_all_test,ari,nmi,purity,homogeneity,completeness,v_measure,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1
endpoint_camera_isotropic,Endpoint camera isotropic baseline,endpoint_camera_isotropic,bellevue_150th_se38th,optics,7bb8356a2ef8660d24cc989c9be5d38154e1b76bbb9496095e936cc976ccd93c,3713.0,3422.0,291.0,92.162671694,4.0,7.0,5.0,73.8217075141,-0.0552431495281,0.225393426336,0.593220338983,0.197015569486,0.263321967274,0.225393426336,0.222222222222,0.0268641232144,0.046465954803,0.802746931619,0.107247223846,0.184155776494
endpoint_camera_isotropic,Endpoint camera isotropic baseline,endpoint_camera_isotropic,bellevue_ne8th,hdbscan,0b1af19e4b1dfaad25e4627298d7ce2d71447b00297d1d0a745db9d23838d91a,8037.0,7510.0,527.0,93.4428269255,5.0,3.0,15.0,7.46547219112,0.57606738953,0.783733757215,0.953528628495,0.941214253222,0.671397932446,0.783733757215,0.8,0.592008978849,0.668099127246,0.993075898802,0.612916111851,0.75171450947
endpoint_camera_isotropic,Endpoint camera isotropic baseline,endpoint_camera_isotropic,bellevue_ne8th,kmeans,1c610e1d4c767f88f026f0870705dfa2009266c1ac15a3218f299cc4614d32a7,8037.0,7510.0,527.0,93.4428269255,2.0,4.0,8.0,0.0,0.996158027973,0.992153222173,0.993075898802,0.984967682054,0.999444372702,0.992153222173,0.786046434828,0.8,0.792617239596,0.986697303831,0.993075898802,0.989758554105
endpoint_camera_isotropic,Endpoint camera isotropic baseline,endpoint_camera_isotropic,bellevue_ne8th,optics,2fca008d3cec9000d68f3df047ffb31a3e354b17234100efe0054d3dd52e9756,8037.0,7510.0,527.0,93.4428269255,5.0,3.0,15.0,61.9136493717,0.11824880319,0.439045703397,0.579360852197,0.399644376516,0.487066014386,0.439045703397,0.7,0.224244876606,0.311773877772,0.978561917443,0.248335552597,0.373257324886
endpoint_camera_raw,Endpoint camera raw baseline,endpoint_camera_raw,bellevue_116th_ne12th,hdbscan,83825347959e8b8ff5042b16676cfca8d441925728d9c4988e99f5c3bce256e5,964.0,864.0,100.0,89.6265560166,6.0,8.0,4.0,0.0,0.753097054756,0.832407301178,0.811342592593,0.712926093163,1.0,0.832407301178,0.329509453985,0.4,0.360861629005,0.661099720996,0.811342592593,0.727762516937
endpoint_camera_raw,Endpoint camera raw baseline,endpoint_camera_raw,bellevue_116th_ne12th,kmeans,6d32ea023558856befa082254951d2a18bfed5570828ae43004a4ce1c15b6024,964.0,864.0,100.0,89.6265560166,0.0,2.0,10.0,0.0,0.952814774696,0.971665540885,0.994212962963,0.985271667206,0.95843008388,0.971665540885,0.897807017544,0.889215686275,0.893191870685,0.988552834633,0.96875,0.977894413404
endpoint_camera_raw,Endpoint camera raw baseline,endpoint_camera_raw,bellevue_116th_ne12th,optics,5f28c901f05da07bf4227b49e270adde3e46679df2e275112462a1e084ef364b,964.0,864.0,100.0,89.6265560166,8.0,10.0,2.0,88.1742738589,0.00335850591547,0.178299956435,0.368055555556,0.111791278736,0.440177456068,0.178299956435,0.1,0.0295964125561,0.0456747404844,0.258101851852,0.0763888888889,0.117887351019
endpoint_camera_raw,Endpoint camera raw baseline,endpoint_camera_raw,bellevue_150th_eastgate,hdbscan,9d9a8b08d6c7773d765e842feb70bc0f6176a97895f4567b41a888ccad5bef95,10755.0,10586.0,169.0,98.4286378429,2.0,1.0,11.0,6.78754067875,0.587700804951,0.842764443345,0.983374267901,0.968391105461,0.745989338675,0.842764443345,0.872397134766,0.728764945574,0.775106826111,0.982684125536,0.660872850935,0.765562812709
endpoint_camera_raw,Endpoint camera raw baseline,endpoint_camera_raw,bellevue_150th_eastgate,kmeans,d75dcdd844dab2a3127f308d7f88bfadace38ad86994a79bcf63c8ee4cbbc0a3,10755.0,10586.0,169.0,98.4286378429,1.0,2.0,10.0,0.0,0.977837768282,0.976840596763,0.999716606839,0.999021936139,0.955622849707,0.976840596763,0.999458874459,0.946628232006,0.96460777891,0.999717987001,0.942282259588,0.961877808224
endpoint_camera_raw,Endpoint camera raw baseline,endpoint_camera_raw,bellevue_150th_eastgate,optics,86ab016ca0057caa69648c2d21d019ea9950f123e11db289a9901aeca8b63c3e,10755.0,10586.0,169.0,98.4286378429,4.0,1.0,13.0,49.0748489075,0.10950802373,0.470944689772,0.629605138863,0.460743679963,0.48160763408,0.470944689772,0.555555555556,0.186664791666,0.277161141592,0.823162667674,0.290572454185,0.42782381535
endpoint_camera_raw,Endpoint camera raw baseline,endpoint_camera_raw,bellevue_150th_newport,hdbscan,337a39b4177e83537a440bb11f1520146af92da68be19b10288ab532425df3aa,3924.0,3852.0,72.0,98.1651376147,3.0,6.0,6.0,0.178389398573,0.98815241785,0.980424935205,0.985721703011,0.962596546957,0.998926189964,0.980424935205,0.654097356834,0.665855636659,0.659648760168,0.971055351464,0.983904465213,0.977202997922
endpoint_camera_raw,Endpoint camera raw baseline,endpoint_camera_raw,bellevue_150th_newport,kmeans,b72ec20a087a5258671d6ae27837190a3384e8dc3c170d647ea78ecd913b49a0,3924.0,3852.0,72.0,98.1651376147,1.0,2.0,10.0,0.0,0.993923280169,0.985530349407,1.0,1.0,0.971473467768,0.985530349407,1.0,0.980080921257,0.98905982906,1.0,0.983385254413,0.990874670501
