comparison_id,left_method_family,right_method_family,scene_id,delta_observed_target_abs_error,delta_legal_target_abs_error,delta_n_non_noise_clusters,delta_noise_pct_all_test,delta_ari,delta_nmi,delta_purity,delta_homogeneity,delta_completeness,delta_v_measure,delta_macro_precision,delta_macro_recall,delta_macro_f1,delta_weighted_precision,delta_weighted_recall,delta_weighted_f1
A1_minus_A0,original_hg_aware_A1,original_untargeted,bellevue_116th_ne12th,-0.666666666666667,-0.6666666666666661,0.6666666666666661,-7.503457814666666,0.08660153388266678,0.06904413126766673,0.05478395061733343,0.08918807254200001,0.04680175100533335,0.06904413126766673,0.064021164021,0.08331764249433332,0.07661557793566676,0.029241377620999986,0.056327160493666706,0.04727478626833337
A1_minus_A0,original_hg_aware_A1,original_untargeted,bellevue_150th_newport,-0.6666666666666665,-2.6666666666666665,2.666666666666666,-5.300713557583333,-0.040690329123999947,0.010853778925000057,0.04231568016599996,0.0703160272336667,-0.03820375408900012,0.010853778925000057,0.111640535338,0.10531651650700002,0.10718349435300001,0.0193726896876667,-0.039113880235333465,-0.02168646090766657
A1_minus_A0,original_hg_aware_A1,original_untargeted,bellevue_150th_eastgate,-3.333333333333333,-1.3333333333333333,-3.333333333333334,0.1797613512900007,0.005711462045333349,0.01161426639599994,-0.0009446438689999503,-0.009228476197666646,0.027048063677000078,0.01161426639599994,-0.08484882678833339,-0.03212290610199997,-0.049671010133333526,-0.010787080251999925,0.03142515271733326,0.017900486741333377
A1_minus_A0,original_hg_aware_A1,original_untargeted,bellevue_150th_se38th,0.6666666666666665,-1.333333333333333,5.333333333333333,-19.0771164377,0.08556820136266674,0.0914226447526667,0.07266705630266668,0.1894140592686666,0.03064117629600005,0.0914226447526667,0.2129629629633334,0.19454873438466663,0.2014928937603333,0.06033400437299996,0.1271186440676666,0.13154964739499997
A1_minus_A0,original_hg_aware_A1,original_untargeted,bellevue_ne8th,0.6666666666666667,0.6666666666666667,0.0,3.6373439509100027,-0.15889447354733333,-0.07281840081166668,-0.05042166000899995,-0.06841023627299991,-0.07302784910033333,-0.07281840081166668,-0.0664858535166667,-0.09190380034500001,-0.0805580883910001,-0.006323535455666773,-0.06471371504700008,-0.03849879132333345
A5_minus_A1,hg_smg_tc_A5,original_hg_aware_A1,bellevue_116th_ne12th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A5_minus_A1,hg_smg_tc_A5,original_hg_aware_A1,bellevue_150th_newport,-0.3333333333333335,1.6666666666666665,-1.666666666666666,0.0,0.10044608340600003,0.04027828203833339,-0.0016441675320001403,-0.00664094144400007,0.07716384773666674,0.04027828203833339,-0.07456926813766673,-0.04826911577800019,-0.057748442578666515,-0.003277234877333335,0.0808238144686666,0.052468879783333366
A5_minus_A1,hg_smg_tc_A5,original_hg_aware_A1,bellevue_150th_eastgate,0.9999999999999998,-0.33333333333333326,1.0,-0.024794669133333613,-0.014853276109333291,-0.012616654348333256,-0.0018892877386667006,0.0008958163733332469,-0.024163865075333302,-0.012616654348333256,0.04253428841133333,0.02834024879333341,0.03955865542633352,0.005771958154666801,-0.01571257635833323,-0.005115403934333407
A5_minus_A1,hg_smg_tc_A5,original_hg_aware_A1,bellevue_150th_se38th,-2.0,-2.0,-2.0,0.0,0.04953478914566656,0.02374914565500008,0.0,-0.0002330387260001121,0.0369501896783333,0.02374914565500008,-0.0010288065843333527,0.012028159453666643,0.007015136317666815,-0.00018940623866658957,0.02756672511199998,0.01568663190166686
A5_minus_A1,hg_smg_tc_A5,original_hg_aware_A1,bellevue_ne8th,-0.6666666666666667,0.0,0.0,2.0032350379666646,-0.05246886127866668,-0.046275287177000024,-0.015268530848000061,-0.05180155808233344,-0.03969257454533326,-0.046275287177000024,-0.02920042099300002,-0.051056898871333245,-0.04649942516166661,-0.011930818216666528,-0.049800266311333274,-0.04252279347466659
A5_minus_strongest_endpoint,hg_smg_tc_A5,endpoint_camera_isotropic,bellevue_116th_ne12th,-2.0000000000000004,-2.0,2.0,-19.017980636233332,0.1380451369265101,0.17530561559333335,0.14313271604933342,0.20444860566,0.08143077064833337,0.17530561559333335,0.16402116402100003,0.13659723543929997,0.14657864893953337,0.21365495786800004,0.15856481481470008,0.180563119467
A5_minus_strongest_endpoint,hg_smg_tc_A5,endpoint_camera_isotropic,bellevue_150th_newport,-1.3333333333333335,-0.666666666666667,0.666666666666667,-20.480801902816665,0.3003638075974667,0.19981384065399999,0.11647628937333321,0.22157308767400008,0.1653149751966666,0.19981384065399999,0.07357888001066659,0.09341436801766656,0.08836983244666674,0.0825656173206667,0.20361716857066647,0.1685026323040002
A5_minus_strongest_endpoint,hg_smg_tc_A5,endpoint_camera_isotropic,bellevue_150th_eastgate,0.33333333333333304,-0.33333333333333326,0.33333333333333215,-9.688516968840002,0.1978498735786668,0.0803398672893334,0.075414068896,0.11152311599099995,0.0527792529243335,0.0803398672893334,0.11111111111100003,0.10794205186333339,0.1220843585946666,0.05582845267333336,0.11581333837166663,0.1114101310679999
A5_minus_strongest_endpoint,hg_smg_tc_A5,endpoint_camera_isotropic,bellevue_150th_se38th,-1.0,-1.6666666666666665,1.666666666666666,-19.499057366000002,0.24528316258269994,0.18101987323733337,0.11718293395699997,0.22603802524799987,0.13973619575633334,0.18101987323733337,0.13786008230466673,0.14587644459753335,0.15495157940766668,0.05186483970833344,0.2049483732709999,0.20981183625666677
A5_minus_strongest_endpoint,hg_smg_tc_A5,endpoint_camera_isotropic,bellevue_ne8th,-2.666666666666667,-1.3333333333333335,-1.3333333333333321,-1.7460909958099968,-0.008304160516333425,0.00681403233799982,0.03146915224133329,0.024162008245000033,-0.012984769319333345,0.00681403233799982,-0.02920042099300002,-0.009882713673999954,-0.005177305487999995,-0.011930818216666528,-0.021660008877333325,-0.007471063813000001
A5_minus_resampled_trajectory,hg_smg_tc_A5,resampled_trajectory_euclidean,bellevue_116th_ne12th,-2.6666666666666665,-2.666666666666666,2.666666666666666,-20.08990318120133,0.16947690143987004,0.22524498471633336,0.18441358024700005,0.2550530219368333,0.13002772861666667,0.22524498471633336,0.243302131338,0.1817281074321333,0.2147003586022334,0.24797974498066666,0.1871141975306001,0.21611209712266666
