scene_id,point_count,inlier_count,forward_mean_error_px,forward_median_error_px,forward_rmse_error_px,forward_max_error_px,forward_p90_error_px,forward_p95_error_px,normalized_rmse_fraction_destination_diagonal,normalized_p95_fraction_destination_diagonal,inverse_mean_error_px,inverse_median_error_px,inverse_rmse_error_px,symmetric_normalized_mean,symmetric_normalized_p95,inlier_mean_error_px,inlier_median_error_px,inlier_max_error_px,inlier_fraction,source_calibration_hull_area_fraction,source_calibration_grid_coverage_fraction,endpoint_inside_calibration_hull_fraction,endpoint_extrapolation_fraction,normalized_dlt_effective_condition,normalized_dlt_nullspace_gap,homography_matrix_condition_number,quality_class,homography_passes_quality_gate,quality_gate_notes,source_image_width,source_image_height,destination_image_width,destination_image_height
bellevue_116th_ne12th,26,17,13.989688671676394,5.226385679029008,23.859013095158748,88.57489491982312,36.45098587890038,41.54517414026239,0.011567721164273898,0.0201426181484964,38.365019481009384,12.516422423257175,73.93311687565776,0.032906159373444294,0.15671363536658647,3.4857390056806206,3.578138943748175,5.986919794337368,0.6538461538461539,0.4370968509179904,0.6875,0.08022130013831259,0.9197786998616874,3.8900726693028593,7.14779229874312,3272768.422224947,acceptable,True,most trajectory endpoints require extrapolation beyond the calibration hull; normalized RMSE exceeds the good-class threshold,1280,720,1846,920
bellevue_150th_newport,20,13,9.720691231749104,6.00123115138873,13.01991184414041,31.01221829549635,22.488314969446993,29.305971741122992,0.006046003908708528,0.013608695805039008,35.94641735912109,17.447437641755954,61.15068270171369,0.028990534726260425,0.09279596125173667,4.362102445818397,4.425108823678583,7.415443434857041,0.65,0.27542790924269334,0.4375,0.03054065208419315,0.9694593479158069,5.1638696813979115,6.829751427811899,107462.73619619415,acceptable,True,most trajectory endpoints require extrapolation beyond the calibration hull,1280,720,1915,985
bellevue_150th_eastgate,13,11,8.318659805956916,4.352290503601521,14.608485636682412,42.79223406878365,23.57334250537656,33.77263356211821,0.006783683508536493,0.015682861525352237,16.136740503334085,7.760824151199171,35.82052084260514,0.014850705813366817,0.05605366008066584,3.4173433500892396,2.4571427639933674,6.828446296184248,0.8461538461538461,0.32059480470569474,0.4375,0.07018348623853211,0.9298165137614679,4.1200880683623105,13.274615190761473,552437.6350221972,good,True,most trajectory endpoints require extrapolation beyond the calibration hull,1280,720,1915,985
bellevue_150th_se38th,24,16,10.254023591982909,5.208159812666951,14.654360117103202,37.354724904641714,27.477264450459803,31.454700905236407,0.006804986055838985,0.014606492493718771,30.48591832303302,10.251259710988352,50.47788260464629,0.025520041918211656,0.0979912271985483,3.8203103233465177,4.27461744019655,8.122426265145032,0.6666666666666666,0.41389636616280745,0.75,0.09568896051571313,0.9043110394842868,3.75234785444473,10.976856482774734,1460425.8423062952,good,True,most trajectory endpoints require extrapolation beyond the calibration hull,1280,720,1915,985
bellevue_ne8th,18,13,8.31704714078354,5.104148188002097,11.598298377424666,27.02849696878316,22.694856594666962,23.371639411534083,0.004252226507111101,0.008568628033730133,14.757445648747282,7.0176364283584105,23.965994533188816,0.013097853777090152,0.04585626558433876,3.8769266638399915,2.9191808716847447,8.883454005001925,0.7222222222222222,0.3216681333409782,0.4375,0.030667144906743184,0.9693328550932568,3.2205346691923658,16.419706659400752,1463777.58280787,acceptable,True,most trajectory endpoints require extrapolation beyond the calibration hull,1280,720,2445,1209
