scene_id,point_id,source_x_px,source_y_px,destination_x,destination_y,source_image_width,source_image_height,destination_image_width,destination_image_height,source_normalized_x,source_normalized_y,destination_normalized_x,destination_normalized_y,is_inlier_if_applicable,point_provenance,calibration_version,source_config_path,source_checksum,camera_image_checksum,topview_image_checksum
bellevue_116th_ne12th,11,452.86,226.66,996.06,455.12,1280,720,1846,920,0.353796875,0.31480555555555556,0.5395774647887324,0.49469565217391304,True,manual_visual_selection_feature_not_documented,frozen-hg-msa-tc-five-scene-v1,research_experiments/fov2026_trajectory_clustering/configs/hg_msa_tc_five_scene/homography_bellevue_116th_ne12th.json,49a26bc53dac84ebf06604b71eaddedc51f667252cc6406be8034b65e4f0d54c,c310c844949cacaf70d2bfd7c346fcd2f156ed229c6d741fe442c053db83c094,380c0653efacdb631364dadf4921f821cb3bbf973cdfc69133f7e64ea37f87ab
bellevue_116th_ne12th,12,405.69,253.0,1017.89,444.39,1280,720,1846,920,0.3169453125,0.35138888888888886,0.5514030335861322,0.4830326086956522,True,manual_visual_selection_feature_not_documented,frozen-hg-msa-tc-five-scene-v1,research_experiments/fov2026_trajectory_clustering/configs/hg_msa_tc_five_scene/homography_bellevue_116th_ne12th.json,49a26bc53dac84ebf06604b71eaddedc51f667252cc6406be8034b65e4f0d54c,c310c844949cacaf70d2bfd7c346fcd2f156ed229c6d741fe442c053db83c094,380c0653efacdb631364dadf4921f821cb3bbf973cdfc69133f7e64ea37f87ab
bellevue_116th_ne12th,13,323.51,395.51,1047.89,390.38,1280,720,1846,920,0.2527421875,0.5493194444444445,0.5676543878656555,0.42432608695652174,True,manual_visual_selection_feature_not_documented,frozen-hg-msa-tc-five-scene-v1,research_experiments/fov2026_trajectory_clustering/configs/hg_msa_tc_five_scene/homography_bellevue_116th_ne12th.json,49a26bc53dac84ebf06604b71eaddedc51f667252cc6406be8034b65e4f0d54c,c310c844949cacaf70d2bfd7c346fcd2f156ed229c6d741fe442c053db83c094,380c0653efacdb631364dadf4921f821cb3bbf973cdfc69133f7e64ea37f87ab
bellevue_116th_ne12th,14,324.55,475.61,1046.39,361.88,1280,720,1846,920,0.2535546875,0.6605694444444444,0.5668418201516794,0.3933478260869565,True,manual_visual_selection_feature_not_documented,frozen-hg-msa-tc-five-scene-v1,research_experiments/fov2026_trajectory_clustering/configs/hg_msa_tc_five_scene/homography_bellevue_116th_ne12th.json,49a26bc53dac84ebf06604b71eaddedc51f667252cc6406be8034b65e4f0d54c,c310c844949cacaf70d2bfd7c346fcd2f156ed229c6d741fe442c053db83c094,380c0653efacdb631364dadf4921f821cb3bbf973cdfc69133f7e64ea37f87ab
bellevue_116th_ne12th,15,130.03,477.69,1121.4,381.38,1280,720,1846,920,0.1015859375,0.6634583333333334,0.6074756229685808,0.41454347826086957,False,manual_visual_selection_feature_not_documented,frozen-hg-msa-tc-five-scene-v1,research_experiments/fov2026_trajectory_clustering/configs/hg_msa_tc_five_scene/homography_bellevue_116th_ne12th.json,49a26bc53dac84ebf06604b71eaddedc51f667252cc6406be8034b65e4f0d54c,c310c844949cacaf70d2bfd7c346fcd2f156ed229c6d741fe442c053db83c094,380c0653efacdb631364dadf4921f821cb3bbf973cdfc69133f7e64ea37f87ab
bellevue_116th_ne12th,16,398.41,634.77,1031.39,291.37,1280,720,1846,920,0.3112578125,0.881625,0.5587161430119177,0.31670652173913044,False,manual_visual_selection_feature_not_documented,frozen-hg-msa-tc-five-scene-v1,research_experiments/fov2026_trajectory_clustering/configs/hg_msa_tc_five_scene/homography_bellevue_116th_ne12th.json,49a26bc53dac84ebf06604b71eaddedc51f667252cc6406be8034b65e4f0d54c,c310c844949cacaf70d2bfd7c346fcd2f156ed229c6d741fe442c053db83c094,380c0653efacdb631364dadf4921f821cb3bbf973cdfc69133f7e64ea37f87ab
bellevue_116th_ne12th,17,505.55,678.46,1017.89,265.86,1280,720,1846,920,0.3949609375,0.9423055555555556,0.5514030335861322,0.28897826086956524,False,manual_visual_selection_feature_not_documented,frozen-hg-msa-tc-five-scene-v1,research_experiments/fov2026_trajectory_clustering/configs/hg_msa_tc_five_scene/homography_bellevue_116th_ne12th.json,49a26bc53dac84ebf06604b71eaddedc51f667252cc6406be8034b65e4f0d54c,c310c844949cacaf70d2bfd7c346fcd2f156ed229c6d741fe442c053db83c094,380c0653efacdb631364dadf4921f821cb3bbf973cdfc69133f7e64ea37f87ab
bellevue_116th_ne12th,18,640.78,678.46,995.38,276.37,1280,720,1846,920,0.500609375,0.9423055555555556,0.5392091007583966,0.30040217391304347,True,manual_visual_selection_feature_not_documented,frozen-hg-msa-tc-five-scene-v1,research_experiments/fov2026_trajectory_clustering/configs/hg_msa_tc_five_scene/homography_bellevue_116th_ne12th.json,49a26bc53dac84ebf06604b71eaddedc51f667252cc6406be8034b65e4f0d54c,c310c844949cacaf70d2bfd7c346fcd2f156ed229c6d741fe442c053db83c094,380c0653efacdb631364dadf4921f821cb3bbf973cdfc69133f7e64ea37f87ab
bellevue_116th_ne12th,19,1074.56,623.32,917.37,235.86,1280,720,1846,920,0.8394999999999999,0.8657222222222223,0.4969501625135428,0.2563695652173913,True,manual_visual_selection_feature_not_documented,frozen-hg-msa-tc-five-scene-v1,research_experiments/fov2026_trajectory_clustering/configs/hg_msa_tc_five_scene/homography_bellevue_116th_ne12th.json,49a26bc53dac84ebf06604b71eaddedc51f667252cc6406be8034b65e4f0d54c,c310c844949cacaf70d2bfd7c346fcd2f156ed229c6d741fe442c053db83c094,380c0653efacdb631364dadf4921f821cb3bbf973cdfc69133f7e64ea37f87ab
bellevue_116th_ne12th,20,1209.78,567.15,845.36,192.35,1280,720,1846,920,0.945140625,0.7877083333333333,0.4579414951245937,0.20907608695652175,False,manual_visual_selection_feature_not_documented,frozen-hg-msa-tc-five-scene-v1,research_experiments/fov2026_trajectory_clustering/configs/hg_msa_tc_five_scene/homography_bellevue_116th_ne12th.json,49a26bc53dac84ebf06604b71eaddedc51f667252cc6406be8034b65e4f0d54c,c310c844949cacaf70d2bfd7c346fcd2f156ed229c6d741fe442c053db83c094,380c0653efacdb631364dadf4921f821cb3bbf973cdfc69133f7e64ea37f87ab
