scene_id,noise_scale_px,replicate_count,endpoint_displacement_median_px,endpoint_displacement_p95_px,entry_region_change_mean,exit_region_change_mean,od_pair_change_mean,angular_feature_displacement_median_rad,angular_feature_displacement_p95_rad,normalized_radial_feature_displacement_median,normalized_radial_feature_displacement_p95
bellevue_116th_ne12th,1.0,20,0.9963708536385736,2.708319105696855,0.0,0.0,0.0,0.0019268103231196488,0.0056373591910053875,0.0002158219093095562,0.002141177872248847
bellevue_116th_ne12th,2.0,20,2.187631161578464,5.129630844644892,0.0,0.0,0.0,0.0034251338388570085,0.013173321270943821,0.00039923323876400567,0.0036465750486280417
bellevue_116th_ne12th,3.0,20,3.205312073340145,8.813180501712175,0.0,0.0,0.0,0.00515528405485477,0.019120899528822642,0.000724164573772064,0.00553808582522522
bellevue_116th_ne12th,5.0,20,4.637918993392381,15.333832754381191,0.0,0.0,0.0,0.007750903640048379,0.03710057053256102,0.0014536975693973265,0.007689906679483046
bellevue_116th_ne12th,10.0,20,6.240893971300901,30.058083087709534,0.0,0.0,0.0,0.012602878606270199,0.05583279077828701,0.002459839584582634,0.013933798206481727
bellevue_150th_newport,1.0,20,0.7382901172716344,4.055472346033274,0.0015270326042096573,0.0,0.0015270326042096573,0.0009523699635038685,0.005603271651114239,0.00043226872181179564,0.0031531740661575637
bellevue_150th_newport,2.0,20,3.724922432515522,13.095892986124158,0.0023730912092447378,0.0,0.0023730912092447378,0.005349692130205974,0.021010342999356328,0.0035051975100547517,0.016407493553826688
bellevue_150th_newport,3.0,20,5.649297529555353,22.878259016403103,0.002888980602558811,0.0,0.002888980602558811,0.00892699777718245,0.03863142931902569,0.004148254722463772,0.02907265114435857
bellevue_150th_newport,5.0,20,5.557988266134801,26.333357771713423,0.0028064382996285595,0.0,0.0028064382996285595,0.009112828842209209,0.04403724779827366,0.004409541898527519,0.03111374411109756
bellevue_150th_newport,10.0,20,15.274157199526258,44.508303913332114,0.009451093685513825,0.0,0.009451093685513825,0.02651474924265762,0.12435140259099231,0.010378978121075345,0.06796923535768208
bellevue_150th_eastgate,1.0,20,0.7957451526738057,1.8425823906488867,0.0002981651376146789,0.0003268348623853211,0.000625,0.0007025914414041101,0.009080484974622542,0.0001854097942497572,0.0016019926164567429
bellevue_150th_eastgate,2.0,20,4.108904242796579,8.821875893866087,0.0003096330275229358,0.0009977064220183488,0.0013073394495412844,0.0040337028634421235,0.04592759523570958,0.0008774481742058228,0.006539948389040288
bellevue_150th_eastgate,3.0,20,3.571557185321221,8.041957758964573,0.004913990825688073,0.001301605504587156,0.006215596330275229,0.0036131150386041954,0.03887036908697973,0.001002647597891094,0.006491434961351902
bellevue_150th_eastgate,5.0,20,5.842256592998959,12.775239223694616,0.006049311926605504,0.002190366972477064,0.008239678899082569,0.004588780675125491,0.0591887846952346,0.001376941065310536,0.011643216786724812
bellevue_150th_eastgate,10.0,20,10.062430124451367,21.032989025857063,0.010217889908256882,0.0020355504587155964,0.012253440366972478,0.006465183269976416,0.08193047011490817,0.0020663865484933644,0.019066369812116818
bellevue_150th_se38th,1.0,20,0.4525383496908173,2.1292814730442413,0.0006647864625302176,0.0013497179693795327,0.0020145044319097504,0.0015270408295374183,0.005897481721194944,1.2911849787456547e-05,0.0001562823013137426
bellevue_150th_se38th,2.0,20,2.882702452759602,6.443907084939742,0.0016317485898468976,0.00314262691377921,0.004774375503626108,0.005760274257334219,0.02506921245930389,4.663986278677715e-05,0.0009741482762394478
bellevue_150th_se38th,3.0,20,6.1427045534018445,32.53107224197061,0.0021958098307816275,0.004532634971796938,0.006728444802578566,0.01146135150301647,0.047040913272945725,0.00012755207757104287,0.001433497261074832
bellevue_150th_se38th,5.0,20,9.101379555646837,41.80398764159754,0.004149879129734085,0.0064464141821112,0.010515713134568897,0.019536929169995568,0.06927612314492088,0.00020685368830635365,0.0024145080938425354
bellevue_150th_se38th,10.0,20,11.822525022112186,37.85924487976088,0.0136986301369863,0.08561643835616438,0.09709911361804996,0.026725544590942396,0.10679519518158875,0.0003266240182102586,0.002885161130327849
bellevue_ne8th,1.0,20,4.037676777386137,21.80361541073899,0.00010760401721664277,0.0,0.00010760401721664277,0.0027467650734863246,0.04425859017560055,0.0010924388705514775,0.006839498984420437
bellevue_ne8th,2.0,20,4.806380839909094,44.41241781262755,0.00013450502152080346,0.0,0.00013450502152080346,0.005424668846249356,0.06046041499267075,0.0012349398780501977,0.008134986483398025
bellevue_ne8th,3.0,20,4.188509883223672,56.41076960861258,0.00020624103299856527,8.96700143472023e-06,0.0002152080344332855,0.007023555993006126,0.07311492272404231,0.0015188568378652553,0.01031881742477999
bellevue_ne8th,5.0,20,15.78178743493249,114.84480799601144,0.00022417503586800574,4.483500717360115e-05,0.00026901004304160693,0.00874223780917983,0.130925973847323,0.00399787528757864,0.02157383824661178
bellevue_ne8th,10.0,20,24.829584738662405,218.3503900494549,0.00026004304160688667,0.00024210903873744623,0.0005021520803443329,0.0211036628844987,0.21351032533124809,0.005394672140764263,0.05033323665068165
