scene_id,omitted_point_id,omitted_point_was_frozen_inlier,remaining_point_count,frozen_target,status,estimation_method,remaining_inlier_count,matrix_frobenius_difference,resulting_entry_regions,resulting_exit_regions,resulting_support_threshold,resulting_target,target_difference_from_frozen,endpoint_displacement_median_px,endpoint_displacement_p95_px,angular_feature_displacement_median_rad,angular_feature_displacement_p95_rad,normalized_radial_feature_displacement_median,normalized_radial_feature_displacement_p95,entry_region_assignment_change_fraction,exit_region_assignment_change_fraction,od_pair_assignment_change_fraction
bellevue_116th_ne12th,1,True,25,10,ok,ransac_10px,16,3.879497445916962,4,4,0.0025,10,0,3.400624323312571,7.416276184628346,0.009368320037008646,0.0370809897749409,0.0010584263253573048,0.004696802684826341,0.0,0.0,0.0
bellevue_116th_ne12th,2,True,25,10,ok,ransac_10px,17,2.4539083165379005,4,4,0.0025,10,0,3.5345765434689107,6.713828377809295,0.009360370587150432,0.03679984549066906,0.0010439686197036974,0.0055526652543799945,0.0,0.0,0.0
bellevue_116th_ne12th,3,False,25,10,ok,ransac_10px,17,29.32194695401526,4,4,0.0025,10,0,2.955751958422434,8.18261199646579,0.0030771168031518015,0.03504465955120739,0.001053035869062996,0.0038464748744966824,0.0,0.0,0.0
bellevue_116th_ne12th,4,True,25,10,ok,ransac_10px,16,28.77746871914772,4,4,0.0025,10,0,2.992534025730806,9.454221934330484,0.0023752360038727383,0.029292490597091436,0.0005021347831840779,0.003815260673031104,0.0,0.0,0.0
bellevue_116th_ne12th,5,True,25,10,ok,ransac_10px,15,50.83697151126718,4,4,0.0025,10,0,3.4906915234474427,13.915014569829845,0.004393699221927561,0.03543559450054795,0.00105204783941229,0.00766383831073773,0.0,0.0,0.0
bellevue_116th_ne12th,6,True,25,10,ok,ransac_10px,16,32.431999742841285,4,4,0.0025,10,0,3.134299782579939,9.097704009703289,0.0030141677519111426,0.03458820251345429,0.0007910336302961798,0.004102169220695985,0.0,0.0,0.0
bellevue_116th_ne12th,7,False,25,10,ok,ransac_10px,17,29.32194695401526,4,4,0.0025,10,0,2.955751958422434,8.18261199646579,0.0030771168031518015,0.03504465955120739,0.001053035869062996,0.0038464748744966824,0.0,0.0,0.0
bellevue_116th_ne12th,8,False,25,10,ok,ransac_10px,17,29.32194695401526,4,4,0.0025,10,0,2.955751958422434,8.18261199646579,0.0030771168031518015,0.03504465955120739,0.001053035869062996,0.0038464748744966824,0.0,0.0,0.0
bellevue_116th_ne12th,9,True,25,10,ok,ransac_10px,16,37.53697645233656,4,4,0.0025,10,0,3.186372209276426,9.156004389327988,0.0025349310543110737,0.03907091442162852,0.0010667137100583285,0.005018667456337219,0.0,0.0,0.0
bellevue_116th_ne12th,10,True,25,10,ok,ransac_10px,16,26.220288410611996,4,4,0.0025,10,0,2.8254676284351614,7.560950021117973,0.0032920729092939163,0.033248905482520574,0.0010982917707572995,0.0036561628921330316,0.0,0.0,0.0
