release,scene,class_id,class_name,count,count_basis,mean_confidence,median_confidence,p10,p25,p75,p90
new_yolo11x_bytetrack,bellevue_116th_ne12th,7,7,9,bounded_proxy_sample,0.32406240867243874,0.3692413568496704,,,,
new_yolo11x_bytetrack,bellevue_116th_ne12th,9,9,90461,bounded_proxy_sample,0.28624142067986114,0.2809142768383026,,,,
new_yolo11x_bytetrack,bellevue_116th_ne12th,0,0,2327,bounded_proxy_sample,0.3294583931533267,0.330325186252594,,,,
new_yolo11x_bytetrack,bellevue_116th_ne12th,2,2,5989,bounded_proxy_sample,0.39041130313776357,0.31245070695877075,,,,
new_yolo11x_bytetrack,bellevue_116th_ne12th,3,3,6,bounded_proxy_sample,0.1329981212814649,0.12454748898744583,,,,
new_yolo11x_bytetrack,bellevue_116th_ne12th,7,7,9,bounded_proxy_sample,0.37908262345525956,0.3933752775192261,,,,
new_yolo11x_bytetrack,bellevue_116th_ne12th,9,9,91669,bounded_proxy_sample,0.2886071586389211,0.28616127371788025,,,,
new_yolo11x_bytetrack,bellevue_116th_ne12th,0,0,1813,bounded_proxy_sample,0.3272279574563013,0.32866933941841125,,,,
new_yolo11x_bytetrack,bellevue_116th_ne12th,2,2,3705,bounded_proxy_sample,0.3078569939322317,0.27690282464027405,,,,
new_yolo11x_bytetrack,bellevue_116th_ne12th,6,6,4,bounded_proxy_sample,0.1927576493471861,0.14326303452253342,,,,
new_yolo11x_bytetrack,bellevue_116th_ne12th,7,7,292,bounded_proxy_sample,0.6150256834975253,0.6563357412815094,,,,
new_yolo11x_bytetrack,bellevue_116th_ne12th,9,9,94186,bounded_proxy_sample,0.289686324104331,0.28826992213726044,,,,
new_yolo11x_bytetrack,bellevue_116th_ne12th,0,0,1880,bounded_proxy_sample,0.3310149021407074,0.3322445899248123,,,,
new_yolo11x_bytetrack,bellevue_116th_ne12th,2,2,4555,bounded_proxy_sample,0.3827708209859684,0.31074953079223633,,,,
new_yolo11x_bytetrack,bellevue_116th_ne12th,7,7,14,bounded_proxy_sample,0.5105807589633125,0.5008141845464706,,,,
new_yolo11x_bytetrack,bellevue_116th_ne12th,9,9,93551,bounded_proxy_sample,0.29748246342705437,0.29649946093559265,,,,
new_yolo11x_bytetrack,bellevue_116th_ne12th,0,0,969,bounded_proxy_sample,0.32140062708634465,0.32143616676330566,,,,
new_yolo11x_bytetrack,bellevue_116th_ne12th,2,2,10353,bounded_proxy_sample,0.4340415020562089,0.39075347781181335,,,,
new_yolo11x_bytetrack,bellevue_116th_ne12th,5,5,141,bounded_proxy_sample,0.6548191628134843,0.6951517462730408,,,,
new_yolo11x_bytetrack,bellevue_116th_ne12th,6,6,1,bounded_proxy_sample,0.18476973474025726,0.18476973474025726,,,,
new_yolo11x_bytetrack,bellevue_116th_ne12th,7,7,870,bounded_proxy_sample,0.6238097028057465,0.6604015231132507,,,,
new_yolo11x_bytetrack,bellevue_116th_ne12th,9,9,56376,bounded_proxy_sample,0.30362245495302537,0.30299757421016693,,,,
new_yolo11x_bytetrack,bellevue_116th_ne12th,0,0,28,bounded_proxy_sample,0.18079841452916817,0.11798183247447014,,,,
new_yolo11x_bytetrack,bellevue_116th_ne12th,2,2,32742,bounded_proxy_sample,0.5341329535833897,0.5565696358680725,,,,
new_yolo11x_bytetrack,bellevue_116th_ne12th,5,5,560,bounded_proxy_sample,0.5548411922263248,0.522324949502945,,,,
new_yolo11x_bytetrack,bellevue_116th_ne12th,6,6,5,bounded_proxy_sample,0.3391642987728119,0.39378929138183594,,,,
new_yolo11x_bytetrack,bellevue_116th_ne12th,7,7,3486,bounded_proxy_sample,0.48194403851397305,0.44797682762145996,,,,
new_yolo11x_bytetrack,bellevue_116th_ne12th,8,8,1,bounded_proxy_sample,0.2256181687116623,0.2256181687116623,,,,
new_yolo11x_bytetrack,bellevue_116th_ne12th,9,9,63178,bounded_proxy_sample,0.31358609373007484,0.3015850633382797,,,,
new_yolo11x_bytetrack,bellevue_116th_ne12th,0,0,1,bounded_proxy_sample,0.11346697807312012,0.11346697807312012,,,,
new_yolo11x_bytetrack,bellevue_116th_ne12th,2,2,55984,bounded_proxy_sample,0.5609361138000497,0.5450731217861176,,,,
new_yolo11x_bytetrack,bellevue_116th_ne12th,5,5,1436,bounded_proxy_sample,0.7830721091136627,0.8315102756023407,,,,
new_yolo11x_bytetrack,bellevue_116th_ne12th,6,6,120,bounded_proxy_sample,0.2564776680121819,0.2795450985431671,,,,
new_yolo11x_bytetrack,bellevue_116th_ne12th,7,7,2198,bounded_proxy_sample,0.6076258605310492,0.632739245891571,,,,
new_yolo11x_bytetrack,bellevue_116th_ne12th,9,9,40261,bounded_proxy_sample,0.5177717076583548,0.5418970584869385,,,,
new_yolo11x_bytetrack,bellevue_116th_ne12th,0,0,1183,bounded_proxy_sample,0.5027399651725113,0.540170431137085,,,,
new_yolo11x_bytetrack,bellevue_116th_ne12th,1,1,1,bounded_proxy_sample,0.3184971511363983,0.3184971511363983,,,,
new_yolo11x_bytetrack,bellevue_116th_ne12th,2,2,83664,bounded_proxy_sample,0.695951343850915,0.7692913115024567,,,,
new_yolo11x_bytetrack,bellevue_116th_ne12th,3,3,71,bounded_proxy_sample,0.3946234182992452,0.39471349120140076,,,,
new_yolo11x_bytetrack,bellevue_116th_ne12th,5,5,944,bounded_proxy_sample,0.6791375758820923,0.6912886798381805,,,,
new_yolo11x_bytetrack,bellevue_116th_ne12th,7,7,1332,bounded_proxy_sample,0.5429905847207204,0.5312637686729431,,,,
new_yolo11x_bytetrack,bellevue_116th_ne12th,9,9,12805,bounded_proxy_sample,0.43704193109055134,0.4578297734260559,,,,
new_yolo11x_bytetrack,bellevue_116th_ne12th,0,0,199,bounded_proxy_sample,0.4790461910280151,0.49184584617614746,,,,
new_yolo11x_bytetrack,bellevue_116th_ne12th,1,1,13,bounded_proxy_sample,0.3845144384182416,0.3842088282108307,,,,
new_yolo11x_bytetrack,bellevue_116th_ne12th,2,2,86740,bounded_proxy_sample,0.6634638361834678,0.7154133021831512,,,,
new_yolo11x_bytetrack,bellevue_116th_ne12th,3,3,126,bounded_proxy_sample,0.42860938295248957,0.43012119829654694,,,,
new_yolo11x_bytetrack,bellevue_116th_ne12th,5,5,53,bounded_proxy_sample,0.600663792412236,0.6195238828659058,,,,
new_yolo11x_bytetrack,bellevue_116th_ne12th,6,6,47,bounded_proxy_sample,0.2682816650956235,0.29188498854637146,,,,
new_yolo11x_bytetrack,bellevue_116th_ne12th,7,7,1232,bounded_proxy_sample,0.49724608621039945,0.485640287399292,,,,
new_yolo11x_bytetrack,bellevue_116th_ne12th,9,9,11590,bounded_proxy_sample,0.46114496387624865,0.471884623169899,,,,
new_yolo11x_bytetrack,bellevue_116th_ne12th,0,0,379,bounded_proxy_sample,0.4010645603284358,0.4098019301891327,,,,
new_yolo11x_bytetrack,bellevue_116th_ne12th,2,2,83235,bounded_proxy_sample,0.6646975884296955,0.7294862866401672,,,,
new_yolo11x_bytetrack,bellevue_116th_ne12th,5,5,1,bounded_proxy_sample,0.4624202251434326,0.4624202251434326,,,,
new_yolo11x_bytetrack,bellevue_116th_ne12th,6,6,71,bounded_proxy_sample,0.23035554210065115,0.2908378541469574,,,,
new_yolo11x_bytetrack,bellevue_116th_ne12th,7,7,2666,bounded_proxy_sample,0.7058112274656954,0.837947815656662,,,,
new_yolo11x_bytetrack,bellevue_116th_ne12th,9,9,13648,bounded_proxy_sample,0.4631079794066016,0.46099792420864105,,,,
new_yolo11x_bytetrack,bellevue_116th_ne12th,0,0,148,bounded_proxy_sample,0.35245165027476644,0.3532167971134186,,,,
new_yolo11x_bytetrack,bellevue_116th_ne12th,2,2,71854,bounded_proxy_sample,0.6286296824965787,0.6538515686988831,,,,
new_yolo11x_bytetrack,bellevue_116th_ne12th,5,5,271,bounded_proxy_sample,0.7618103469979719,0.8734932541847229,,,,
new_yolo11x_bytetrack,bellevue_116th_ne12th,7,7,5270,bounded_proxy_sample,0.4828902024528333,0.4347629249095917,,,,
new_yolo11x_bytetrack,bellevue_116th_ne12th,9,9,12445,bounded_proxy_sample,0.4897521008259563,0.5103783011436462,,,,
new_yolo11x_bytetrack,bellevue_116th_ne12th,0,0,576,bounded_proxy_sample,0.41813284672227585,0.38943997025489807,,,,
new_yolo11x_bytetrack,bellevue_116th_ne12th,2,2,75803,bounded_proxy_sample,0.6520564872935889,0.6880045533180237,,,,
new_yolo11x_bytetrack,bellevue_116th_ne12th,5,5,32,bounded_proxy_sample,0.5869110003113747,0.604968249797821,,,,
new_yolo11x_bytetrack,bellevue_116th_ne12th,7,7,5836,bounded_proxy_sample,0.5980551150436574,0.5515712201595306,,,,
new_yolo11x_bytetrack,bellevue_116th_ne12th,9,9,17753,bounded_proxy_sample,0.44816391581395293,0.4353038966655731,,,,
new_yolo11x_bytetrack,bellevue_116th_ne12th,0,0,66,bounded_proxy_sample,0.22512912434158902,0.2185371145606041,,,,
new_yolo11x_bytetrack,bellevue_116th_ne12th,2,2,43600,bounded_proxy_sample,0.6079144706964972,0.6262949705123901,,,,
new_yolo11x_bytetrack,bellevue_116th_ne12th,5,5,95,bounded_proxy_sample,0.8019160007175646,0.910889208316803,,,,
new_yolo11x_bytetrack,bellevue_116th_ne12th,7,7,2389,bounded_proxy_sample,0.5688087959583208,0.47310373187065125,,,,
new_yolo11x_bytetrack,bellevue_116th_ne12th,9,9,5588,bounded_proxy_sample,0.46196134452846066,0.5026383399963379,,,,
new_yolo11x_bytetrack,bellevue_116th_ne12th,0,0,25,bounded_proxy_sample,0.22282977342605592,0.17040881514549255,,,,
new_yolo11x_bytetrack,bellevue_116th_ne12th,2,2,35898,bounded_proxy_sample,0.7001213137697786,0.76817986369133,,,,
new_yolo11x_bytetrack,bellevue_116th_ne12th,5,5,35,bounded_proxy_sample,0.6098226121493748,0.6227681040763855,,,,
new_yolo11x_bytetrack,bellevue_116th_ne12th,7,7,658,bounded_proxy_sample,0.503626336703094,0.43497583270072937,,,,
new_yolo11x_bytetrack,bellevue_116th_ne12th,8,8,1,bounded_proxy_sample,0.23087218403816223,0.23087218403816223,,,,
new_yolo11x_bytetrack,bellevue_116th_ne12th,9,9,5001,bounded_proxy_sample,0.3694634010832421,0.37401267886161804,,,,
new_yolo11x_bytetrack,bellevue_116th_ne12th,0,0,863,bounded_proxy_sample,0.4018350749310033,0.3625171482563019,,,,
new_yolo11x_bytetrack,bellevue_116th_ne12th,2,2,82626,bounded_proxy_sample,0.6413446033252058,0.7074911296367645,,,,
new_yolo11x_bytetrack,bellevue_116th_ne12th,3,3,1,bounded_proxy_sample,0.10032197088003159,0.10032197088003159,,,,
new_yolo11x_bytetrack,bellevue_116th_ne12th,4,4,7,bounded_proxy_sample,0.3806102616446359,0.30877697467803955,,,,
new_yolo11x_bytetrack,bellevue_116th_ne12th,5,5,894,bounded_proxy_sample,0.616370835660288,0.5975474119186401,,,,
new_yolo11x_bytetrack,bellevue_116th_ne12th,7,7,2534,bounded_proxy_sample,0.5202868975840079,0.504128485918045,,,,
new_yolo11x_bytetrack,bellevue_116th_ne12th,9,9,13075,bounded_proxy_sample,0.3306630607493521,0.32808926701545715,,,,
new_yolo11x_bytetrack,bellevue_150th_eastgate,0,0,25,bounded_proxy_sample,0.36554357677698135,0.37950918078422546,,,,
new_yolo11x_bytetrack,bellevue_150th_eastgate,2,2,51631,bounded_proxy_sample,0.572674808128293,0.6130906343460083,,,,
new_yolo11x_bytetrack,bellevue_150th_eastgate,4,4,35,bounded_proxy_sample,0.15722343091453825,0.14118969440460205,,,,
new_yolo11x_bytetrack,bellevue_150th_eastgate,5,5,4734,bounded_proxy_sample,0.4229588751497403,0.40349431335926056,,,,
new_yolo11x_bytetrack,bellevue_150th_eastgate,7,7,564,bounded_proxy_sample,0.4647741322108406,0.4696086496114731,,,,
new_yolo11x_bytetrack,bellevue_150th_eastgate,9,9,43005,bounded_proxy_sample,0.49345767160752196,0.5341934561729431,,,,
new_yolo11x_bytetrack,bellevue_150th_eastgate,11,11,6,bounded_proxy_sample,0.2926772137482961,0.28403615951538086,,,,
new_yolo11x_bytetrack,bellevue_150th_eastgate,2,2,62586,bounded_proxy_sample,0.5543682578903145,0.5528161227703094,,,,
new_yolo11x_bytetrack,bellevue_150th_eastgate,3,3,75,bounded_proxy_sample,0.13322810292243958,0.1331431120634079,,,,
new_yolo11x_bytetrack,bellevue_150th_eastgate,4,4,175,bounded_proxy_sample,0.22290413865021297,0.22899174690246582,,,,
new_yolo11x_bytetrack,bellevue_150th_eastgate,5,5,5726,bounded_proxy_sample,0.5966063189068812,0.6004743874073029,,,,
new_yolo11x_bytetrack,bellevue_150th_eastgate,7,7,1128,bounded_proxy_sample,0.5403976109578994,0.5317783355712891,,,,
new_yolo11x_bytetrack,bellevue_150th_eastgate,9,9,30310,bounded_proxy_sample,0.41149450873397475,0.4158191680908203,,,,
new_yolo11x_bytetrack,bellevue_150th_eastgate,0,0,1290,bounded_proxy_sample,0.24060952087589937,0.21847715973854065,,,,
